elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,64216,47560,47560,1870636,91328,22,32,3385765326,12
1.418,64216,249768,277208,2750676,84628,49,190,3385766845,12
2.698,64216,460964,460964,2761428,84320,49,679,3385768385,12
3.976,64216,474532,474532,2772436,84264,49,1117,3385769915,12
5.251,64216,485220,485308,2781908,84248,49,1580,3385771452,12
6.53,64216,497748,497748,2830288,84220,49,1959,3385772988,12
7.835,64216,513368,513368,2841040,84220,49,2340,3385774552,12
9.138,64216,501836,520284,2827728,82784,49,2853,3385776117,12
10.442,64216,494528,520284,2808016,82772,49,3228,3385777691,12
11.737,64216,494068,520284,2804176,82752,49,3662,3385779260,12
13.055,64216,499684,520284,2804688,82692,49,4094,3385780826,12
14.411,64216,496628,520284,2804112,82684,47,4247,3385782487,12
