elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.177,42061,74332,74332,1871384,84972,27,54,3489433082,12
1.445,42061,275984,275984,2751508,84536,51,194,3489434613,12
2.743,42061,466688,468040,2804752,84444,51,365,3489436174,12
4.027,42061,483012,483012,2816528,84372,51,615,3489437713,12
5.353,42061,491384,491384,2821392,84308,51,794,3489439342,12
6.735,42061,500572,500572,2831376,84272,51,963,3489440994,12
8.091,42061,503132,503812,2835472,84260,51,1230,3489442589,12
9.384,42061,515316,519636,2850832,84252,51,1586,3489444149,12
10.697,42061,505380,521328,2844688,82800,51,1768,3489445734,12
12.019,42061,511820,521328,2844688,82796,51,2070,3489447344,12
13.355,42061,515316,521328,2842832,82784,49,2289,3489448904,12
14.668,42061,508476,521328,2834864,82780,48,2481,3489450490,12
15.967,42061,508672,521328,2831280,77896,48,2745,3489452030,12
17.261,42061,518196,525328,2837680,77860,48,3003,3489453594,12
18.611,42061,511988,525328,2838448,77860,48,3187,3489455251,12
