elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.138,40372,44348,44348,1869572,92268,21,32,3489275776,12
1.454,40372,372868,372868,2503124,84472,49,374,3489277323,12
2.73,40372,384104,384808,2514388,84348,49,941,3489278826,12
4.004,40372,395812,395812,2524116,84332,49,1286,3489280397,12
5.312,40372,402928,402928,2527700,84324,49,1509,3489282000,12
6.659,40372,406764,407096,2531796,84304,49,1764,3489283602,12
8.031,40372,415160,415716,2538196,84304,49,1922,3489285268,12
9.412,40372,406120,420468,2522836,82860,49,2183,3489286901,12
10.77,40372,406424,420468,2523092,82852,49,2450,3489288512,12
12.094,40372,391092,420468,2510036,82848,49,2777,3489290118,12
