elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.128,43218,43148,43148,1869572,92504,21,30,3489486012,12
1.408,43218,373668,374312,2490868,84444,50,364,3489487524,12
2.673,43218,392068,392200,2530292,84340,50,943,3489489055,12
3.948,43218,406632,406632,2542324,84320,50,1514,3489490581,12
5.255,43218,418548,418548,2553076,84300,50,2035,3489492151,12
6.541,43218,429556,429556,2561012,84300,50,2475,3489493724,12
7.859,43218,441240,441240,2571252,84300,50,2991,3489495287,12
9.158,43218,442556,462084,2569460,82816,50,3449,3489496882,12
10.498,43218,427300,462084,2545652,82808,50,3952,3489498445,12
11.783,43218,424164,462084,2562548,77924,50,4392,3489499989,12
13.066,43218,423892,462084,2560756,77884,50,4900,3489501540,12
14.38,43218,426904,462084,2563028,77872,49,5455,3489503106,12
15.679,43218,432712,462084,2566612,77872,49,5974,3489504684,12
16.995,43218,439968,462084,2565268,77868,47,6432,3489506256,12
18.294,43218,444912,462084,2566836,74248,48,6973,3489507793,12
19.592,43218,420292,462084,2573116,73616,47,7122,3489509410,12
