elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.177,36455,73000,73000,1877784,85104,27,52,3489047926,12
1.473,36455,169272,169272,2449428,84548,51,139,3489049475,12
2.775,36455,369920,369920,2479636,84448,51,388,3489051052,12
4.097,36455,373340,373340,2483476,84412,51,573,3489052663,12
5.477,36455,375440,375440,2487316,84368,51,832,3489054271,12
6.797,36455,386556,386556,2491924,84332,51,1075,3489055861,12
8.095,36455,387000,389120,2495508,84324,51,1309,3489057409,12
9.37,36455,391460,392248,2499348,84316,51,1578,3489058936,12
10.662,36455,388760,394980,2492180,82864,51,1857,3489060488,12
12.056,36455,391440,394980,2517012,82852,51,2084,3489062174,12
13.383,36455,392416,394980,2515956,82852,50,2349,3489063753,12
14.673,36455,386380,394980,2507700,82848,48,2604,3489065297,12
15.966,36455,392728,396268,2505940,82848,49,2951,3489066905,12
17.297,36455,395332,400064,2504884,82848,48,3204,3489068481,12
18.617,36455,390532,400064,2502804,82788,47,3350,3489070068,12
19.953,36455,391700,400064,2502004,82772,46,3588,3489071647,12
21.26,36455,396360,400064,2504308,82768,46,3933,3489073246,12
22.59,36455,403736,403736,2506612,82768,46,4118,3489074811,12
23.88,36455,403828,403868,2507124,82768,46,4372,3489076361,12
25.196,36455,405056,405056,2507636,82768,46,4662,3489077932,12
26.515,36455,406364,408020,2538100,82768,46,4840,3489079553,12
27.852,36455,411564,411564,2538612,82768,46,5089,3489081130,12
29.177,36455,412868,412868,2538868,82768,46,5351,3489082708,12
30.487,36455,412768,412876,2538068,82768,45,5620,3489084296,12
31.802,36455,419956,420008,2541460,77856,47,5814,3489085912,12
