elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.172,37699,71544,71544,1877784,85336,27,43,3489113116,12
1.437,37699,249808,276288,2734868,84776,51,194,3489114642,12
2.739,37699,257484,308968,2791444,84468,51,334,3489116211,12
4.047,37699,441984,441984,2795540,84396,51,577,3489117797,12
5.412,37699,446332,446332,2799636,84356,51,831,3489119437,12
6.772,37699,452404,452404,2803988,84308,51,1110,3489121039,12
8.101,37699,458336,458336,2807828,84268,51,1375,3489122633,12
9.428,37699,462056,462080,2811668,84256,51,1615,3489124222,12
10.724,37699,491444,491444,2848272,82796,51,1891,3489125789,12
12.061,37699,497256,498716,2848272,82784,51,2167,3489127425,12
13.408,37699,501364,501364,2847216,82780,50,2402,3489129012,12
14.73,37699,495056,501424,2839216,82772,48,2689,3489130599,12
16.034,37699,493392,501424,2835632,82732,48,2956,3489132171,12
17.353,37699,498736,501424,2833296,77832,47,3232,3489133799,12
18.697,37699,500220,501424,2833552,77812,47,3492,3489135393,12
20.045,37699,501748,502192,2832752,77812,46,3735,3489136973,12
21.349,37699,551212,551212,2836848,77776,46,3970,3489138540,12
22.668,37699,556248,556248,2837616,77776,46,4183,3489140117,12
23.98,37699,557756,557756,2838896,77772,46,4453,3489141711,12
25.308,37699,558612,558664,2839152,77772,46,4709,3489143292,12
26.622,37699,559192,560016,2839664,77772,46,4979,3489144914,12
27.975,37699,563900,564808,2842000,77772,47,5231,3489146543,12
29.319,37699,564552,565764,2842256,77764,47,5495,3489148116,12
30.634,37699,564504,565764,2842768,77764,47,5690,3489149671,12
31.944,37699,575476,575844,2886800,77760,47,5973,3489151298,12
33.285,37699,584852,584852,2888624,77760,48,6214,3489152867,12
34.599,37699,584884,586852,2888880,77760,48,6472,3489154456,12
35.928,37699,583984,586852,2888080,77760,47,6736,3489156063,12
37.267,37699,589972,593412,2886544,74140,47,7024,3489157637,12
38.572,37699,550984,593412,2887056,74140,47,7298,3489159225,12
39.891,37699,551152,593412,2887056,74140,47,7543,3489160782,12
41.181,37699,558124,593412,2888048,74140,46,7777,3489162330,12
42.508,37699,564932,593412,2889072,74140,46,7962,3489163937,12
43.842,37699,567856,593412,2889840,74140,46,8220,3489165532,12
45.182,37699,567096,593412,2889840,74140,46,8507,3489167151,12
46.492,37699,567344,593412,2889840,74140,46,8800,3489168711,12
47.802,37699,572932,593412,2890352,74140,46,9086,3489170282,12
49.117,37699,583192,593412,2891920,74140,47,9281,3489171866,12
50.425,37699,578348,593412,2891920,74140,47,9526,3489173437,12
51.759,37699,587272,593412,2893172,73508,46,9822,3489175082,12
53.171,37699,590592,593412,2893168,73508,46,9988,3489176755,12
54.533,37699,554648,593412,2888560,73496,46,10276,3489178363,12
55.848,37699,555056,593412,2888560,73496,46,10537,3489179940,12
57.192,37699,553080,593412,2888560,73496,46,10764,3489181578,12
58.517,37699,561128,593412,2889072,73496,46,11104,3489183132,12
59.837,37699,560832,593412,2889072,73496,46,11318,3489184716,12
61.154,37699,564740,593412,2889840,73496,46,11544,3489186328,12
62.494,37699,576172,593412,2890096,73496,46,11810,3489187944,12
63.824,37699,580040,593412,2890096,73496,46,12028,3489189546,12
65.168,37699,580112,593412,2890608,73496,46,12289,3489191176,12
66.549,37699,580700,593412,2890608,73496,46,12548,3489192822,12
67.909,37699,587388,593412,2891120,73496,46,12890,3489194432,12
69.274,37699,556632,593412,2889840,73496,46,13142,3489196072,12
70.587,37699,557084,593412,2889840,73496,46,13415,3489197629,12
71.882,37699,569228,593412,2890352,73496,46,13709,3489199200,12
73.214,37699,576284,593412,2890352,73496,46,13848,3489200785,12
74.525,37699,578608,593412,2890352,73496,46,14134,3489202352,12
75.832,37699,577404,593412,2890352,73496,46,14397,3489203925,12
77.146,37699,577956,593412,2890352,73496,46,14681,3489205497,12
78.438,37699,587244,593412,2891920,73496,47,14988,3489207045,12
79.748,37699,592076,593412,2892176,73496,47,15192,3489208625,12
81.055,37699,588024,593412,2891120,73496,46,15447,3489210188,12
82.36,37699,596444,596444,2892400,73496,46,15747,3489211771,12
83.725,37699,600144,600328,2893456,73496,47,15796,3489213431,12
