elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.126,38682,44828,44828,1869572,92276,21,32,3489221020,12
1.422,38682,261636,283236,2731764,84760,50,186,3489222536,12
2.69,38682,454208,454364,2777328,84360,50,672,3489224064,12
3.985,38682,461928,464664,2782448,84292,50,806,3489225675,12
5.337,38682,468236,468236,2786544,84256,50,1043,3489227311,12
6.694,38682,478612,480832,2792944,84248,50,1408,3489228882,12
8.0,38682,486840,487904,2800880,84236,50,1891,3489230454,12
9.345,38682,483880,500144,2790896,82776,50,2086,3489232113,12
10.709,38682,484236,500144,2790896,82768,50,2344,3489233725,12
12.023,38682,488436,500144,2791152,82768,50,2685,3489235306,12
13.376,38682,490588,500144,2791152,82768,50,2713,3489236931,12
