elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.162,24074,152100,152100,187384,12,29,51,19091603,12
1.41,24074,336576,336576,1036020,12,53,191,19093082,12
2.657,24074,339512,339512,1076468,8,53,317,19094585,12
3.923,24074,517744,517744,1081076,8,53,564,19096116,12
5.201,24074,521160,521160,1079604,8,47,796,19097680,12
6.565,24074,526856,526856,1086036,8,48,1014,19099331,12
7.916,24074,533588,533588,1090100,8,47,1245,19100951,12
9.274,24074,533788,533788,1085748,8,47,1473,19102574,12
10.591,24074,579432,579432,1084692,8,46,1768,19104119,12
11.896,24074,585348,585348,1103124,8,46,2032,19105722,12
13.205,24074,584856,584856,1104180,8,47,2238,19107241,12
14.478,24074,581408,581408,1099796,8,46,2483,19108780,12
15.75,24074,580168,580168,1096948,8,45,2694,19110304,12
17.039,24074,580580,580580,1097204,8,45,2940,19111850,12
18.338,24074,586884,586884,1100596,8,47,3159,19113409,12
19.637,24074,591320,591320,1101876,8,47,3345,19114946,12
20.903,24074,632972,632972,1103636,8,46,3663,19116478,12
22.219,24074,629284,629284,1102580,8,45,3766,19118103,12
22.541,24074,629284,629284,1102580,8,45,3766,19118482,12
23.842,24074,629284,629284,1102580,8,45,3766,19120055,12
25.153,24074,629284,629284,1102580,8,45,3766,19121631,12
26.46,24074,625232,625232,1101524,8,44,3777,19123187,12
