elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.166,29360,154292,154292,175576,12,28,53,19359920,12
1.455,29360,448656,448656,803028,8,52,386,19361464,12
2.701,29360,462124,462124,817076,8,51,1008,19362966,12
3.975,29360,481304,481304,827572,8,51,1332,19364520,12
5.27,29360,481112,481112,826356,8,45,1564,19366067,12
6.563,29360,492176,492176,830964,8,45,1780,19367628,12
7.903,29360,494992,494992,835828,8,45,2077,19369264,12
9.256,29360,482660,482660,821236,8,45,2313,19370867,12
10.579,29360,486232,486232,821236,8,45,2594,19372419,12
11.856,29360,471176,471176,801044,8,46,2946,19373988,12
12.197,29360,472064,472064,801044,8,46,2946,19374395,12
13.5,29360,463676,463676,799988,8,45,2947,19375961,12
14.807,29360,463676,463676,799988,8,45,2947,19377541,12
16.121,29360,463188,463188,799988,8,45,2947,19379112,12
