elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.16,32616,151124,151124,183288,12,29,46,19490823,12
1.431,32616,445768,445768,785396,8,53,405,19492343,12
2.675,32616,462532,462532,799188,8,52,1045,19493838,12
3.934,32616,478916,478916,814548,8,52,1660,19495346,12
5.187,32616,498976,498976,826132,8,46,2277,19496855,12
6.43,32616,519140,519140,869940,8,47,2860,19498340,12
7.681,32616,558584,558584,896820,8,47,3297,19499848,12
8.93,32616,497120,497120,830740,8,46,3932,19501361,12
10.199,32616,504500,504500,835124,8,47,4559,19502879,12
11.459,32616,493064,493064,822324,8,47,5196,19504388,12
12.738,32616,488188,488188,814900,8,47,5794,19505937,12
14.036,32616,505264,505264,858388,8,46,6366,19507505,12
15.357,32616,487708,487708,866100,8,47,6756,19509115,12
15.724,32616,487708,487708,866100,8,47,6756,19509537,12
17.024,32616,487712,487712,867156,8,48,6756,19511100,12
18.338,32616,480308,480308,866100,8,47,6757,19512693,12
19.653,32616,477168,477168,863988,8,45,6758,19514257,12
