elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.156,22618,147804,147804,181976,12,28,47,19041841,12
1.414,22618,247112,247112,749780,8,52,142,19043354,12
2.686,22618,436092,436092,773812,8,51,391,19044874,12
3.939,22618,443692,443692,778164,8,51,576,19046381,12
5.224,22618,450028,450028,776436,8,45,804,19047972,12
6.59,22618,459088,459088,793108,8,46,999,19049602,12
6.929,22618,459088,459088,793108,8,46,999,19050027,12
8.255,22618,451020,451020,790996,8,44,1000,19051607,12
9.566,22618,451020,451020,790996,8,44,1000,19053181,12
10.857,22618,449256,449256,789940,8,43,1004,19054704,12
