elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.167,31637,153280,153280,175576,12,28,52,19459020,12
1.413,31637,338064,338064,1065684,8,52,194,19460500,12
2.647,31637,548572,548572,1092532,8,51,660,19461985,12
3.903,31637,562540,562540,1113524,8,51,866,19463518,12
5.179,31637,558860,558860,1111252,8,44,1076,19465065,12
6.458,31637,579848,579848,1146644,8,46,1350,19466581,12
7.772,31637,574072,574072,1149460,8,46,1554,19468195,12
8.101,31637,566588,566588,1148404,8,45,1554,19468578,12
9.395,31637,566528,566528,1147348,8,44,1554,19470156,12
10.724,31637,563888,563888,1146292,8,43,1555,19471739,12
12.033,31637,563760,563760,1146292,8,43,1555,19473321,12
