elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.16,33014,151444,151444,182232,12,28,52,19523678,12
1.434,33014,446960,446960,788180,8,52,385,19525188,12
2.68,33014,462852,462852,799924,8,51,923,19526674,12
3.918,33014,486508,486508,817588,8,51,1390,19528153,12
5.178,33014,508460,508460,829908,8,44,1974,19529690,12
6.462,33014,527972,527972,878100,8,46,2486,19531250,12
7.755,33014,555952,555952,894228,8,46,2945,19532790,12
9.041,33014,509940,509940,842740,8,45,3535,19534318,12
10.284,33014,526356,526356,848084,8,44,3945,19535799,12
11.551,33014,486124,486124,880148,8,46,4521,19537337,12
12.832,33014,480044,480044,879640,8,46,4860,19538858,12
14.082,33014,490636,490636,880884,8,45,5264,19540371,12
15.355,33014,501520,501520,886228,8,44,5815,19541903,12
16.624,33014,520552,520552,889300,8,44,6175,19543410,12
17.852,33014,530320,530320,891924,8,46,6678,19544882,12
19.098,33014,497640,497640,895284,8,47,7087,19546388,12
20.374,33014,501660,501660,892220,8,46,7499,19547953,12
21.689,33014,509912,509912,891396,8,45,7966,19549507,12
22.966,33014,519996,519996,892708,8,46,8451,19551056,12
24.253,33014,545728,545728,898564,8,45,8824,19552567,12
25.5,33014,509960,509960,898820,8,45,9322,19554064,12
26.744,33014,510340,510340,900100,8,45,9672,19555563,12
28.012,33014,530052,530052,899788,8,46,9984,19557137,12
29.318,33014,544456,544456,899844,8,45,10273,19558654,12
30.562,33014,550996,550996,900356,8,45,10729,19560151,12
31.851,33014,535324,535324,909604,8,46,11038,19561720,12
33.118,33014,514516,514516,906532,8,46,11489,19563252,12
34.409,33014,519564,519564,907044,8,46,11953,19564773,12
35.663,33014,542832,542832,908068,8,46,12225,19566311,12
36.994,33014,554996,554996,909092,8,46,12505,19567901,12
38.27,33014,518824,518824,910660,8,47,12973,19569410,12
39.544,33014,511684,511684,908356,8,47,13436,19570963,12
40.844,33014,541304,541304,909380,8,47,13573,19572497,12
42.112,33014,505928,505928,908580,8,46,14062,19574014,12
43.356,33014,517096,517096,908036,8,45,14530,19575507,12
44.621,33014,539664,539664,905988,8,45,14753,19577020,12
45.907,33014,563692,563692,908068,8,46,14967,19578563,12
47.202,33014,518672,518672,908580,8,46,15210,19580120,12
48.487,33014,529552,529552,911204,8,48,15693,19581678,12
49.763,33014,533672,533672,908644,8,48,16187,19583239,12
51.132,33014,552232,552232,908612,8,47,16330,19584865,12
52.447,33014,514348,514348,909124,8,47,16817,19586450,12
53.733,33014,529940,529940,908580,8,46,17255,19587943,12
54.982,33014,546156,546156,909348,8,46,17407,19589466,12
56.24,33014,549756,549756,909092,8,46,17748,19590944,12
57.504,33014,500640,500640,909860,8,46,17929,19592508,12
58.783,33014,515204,515204,910660,8,47,18405,19594053,12
60.075,33014,531480,531480,910404,8,47,18805,19595552,12
61.358,33014,543748,543748,904676,8,44,18995,19597139,12
62.644,33014,561532,561532,957476,8,46,19279,19598629,12
63.909,33014,515304,515304,959300,8,47,19633,19600169,12
65.187,33014,520388,520388,959300,8,47,20097,19601730,12
66.465,33014,546404,546404,955940,8,46,20339,19603231,12
67.754,33014,563408,563408,956708,8,46,20515,19604805,12
69.079,33014,556160,556160,959300,8,47,20793,19606376,12
70.356,33014,532532,532532,956484,8,47,21131,19607900,12
71.615,33014,539396,539396,956452,8,46,21459,19609399,12
72.886,33014,502300,502300,954084,8,44,21833,19610928,12
74.139,33014,538328,538328,956132,8,44,21957,19612445,12
75.396,33014,505672,505672,957988,8,46,22440,19613962,12
76.666,33014,519680,519680,956196,8,46,22766,19615451,12
77.903,33014,533872,533872,957220,8,46,23023,19616975,12
79.207,33014,555884,555884,959300,8,47,23298,19618553,12
80.503,33014,580260,580260,960324,8,47,23437,19620068,12
81.787,33014,528620,528620,957220,8,46,23699,19621649,12
83.075,33014,557264,557264,958500,8,46,23964,19623147,12
84.362,33014,561996,561996,957444,8,45,24291,19624702,12
85.654,33014,509588,509588,954372,8,45,24756,19626289,12
86.965,33014,535856,535856,956420,8,45,24888,19627874,12
88.267,33014,561152,561152,957444,8,45,25185,19629388,12
89.556,33014,566364,566364,957444,8,45,25508,19630947,12
90.85,33014,505768,505768,955428,8,46,25987,19632518,12
92.172,33014,531428,531428,956452,8,46,26119,19634092,12
93.474,33014,559280,559280,958500,8,46,26392,19635645,12
94.75,33014,564188,564188,952260,8,43,26661,19637225,12
96.066,33014,538704,538704,954340,8,44,26913,19638754,12
97.379,33014,533928,533928,956452,8,46,27258,19640359,12
98.702,33014,502852,502852,958788,8,47,27731,19641929,12
100.011,33014,528788,528788,960068,8,47,27862,19643507,12
101.289,33014,560468,560468,957988,8,46,28019,19645006,12
102.575,33014,506752,506752,956932,8,46,28479,19646570,12
103.833,33014,526192,526192,958468,8,45,28910,19648063,12
105.127,33014,540396,540396,955140,8,45,29071,19649659,12
106.421,33014,566816,566816,956420,8,45,29338,19651213,12
107.714,33014,580888,580888,959812,8,47,29625,19652720,12
108.986,33014,527944,527944,956740,8,47,29759,19654295,12
110.293,33014,552204,552204,957476,8,46,30041,19655820,12
111.585,33014,556076,556076,954308,8,43,30370,19657401,12
