elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.187,24429,155148,155148,174520,12,27,53,19162865,12
1.434,24429,341880,341880,1054388,12,51,190,19164329,12
2.668,24429,338424,338424,1057972,8,51,317,19165827,12
3.923,24429,518712,518712,1078708,8,51,550,19167335,12
5.189,24429,521812,521812,1078292,8,46,767,19168879,12
6.478,24429,528472,528472,1083412,8,46,1002,19170446,12
7.83,24429,534788,534788,1087476,8,45,1235,19172073,12
9.173,24429,540168,540168,1108212,8,45,1476,19173666,12
10.475,24429,536704,536704,1108212,8,45,1775,19175206,12
11.771,24429,581852,581852,1101012,8,44,2053,19176807,12
13.115,24429,584232,584232,1102068,8,45,2174,19178388,12
14.427,24429,584556,584556,1097684,8,44,2382,19179949,12
15.747,24429,582228,582228,1094580,8,43,2629,19181533,12
17.04,24429,584784,584784,1094836,8,43,2857,19183079,12
18.348,24429,590864,590864,1098996,8,45,3074,19184647,12
19.666,24429,598264,598264,1099764,8,45,3286,19186235,12
20.945,24429,633900,633900,1129940,8,44,3601,19187768,12
22.238,24429,638840,638840,1129396,8,43,3802,19189311,12
23.504,24429,641596,641596,1130964,8,44,4028,19190845,12
24.809,24429,643872,643872,1131732,8,44,4291,19192404,12
26.098,24429,644356,644356,1130676,8,43,4541,19193955,12
27.415,24429,646416,646416,1133812,8,45,4804,19195536,12
28.712,24429,650772,650772,1135380,8,46,4970,19197079,12
29.968,24429,650392,650392,1134324,8,45,5241,19198588,12
31.252,24429,666596,666596,1136084,8,44,5491,19200159,12
32.554,24429,665300,665300,1135796,8,43,5680,19201686,12
33.804,24429,664620,664620,1137364,8,44,5895,19203200,12
35.089,24429,666552,666552,1137620,8,44,6128,19204744,12
36.384,24429,671536,671536,1137244,8,43,6384,19206307,12
37.696,24429,632392,632392,1139700,8,45,6651,19207863,12
38.988,24429,631992,631992,1140756,8,46,6839,19209416,12
40.27,24429,643576,643576,1142716,8,46,7158,19210960,12
41.576,24429,645360,645360,1141716,8,44,7344,19212531,12
42.87,24429,646168,646168,1141716,8,44,7575,19214082,12
44.16,24429,651556,651556,1143028,8,45,7796,19215626,12
45.46,24429,648732,648732,1143028,8,45,8050,19217196,12
46.746,24429,653816,653816,1141428,8,43,8299,19218730,12
48.045,24429,655492,655492,1141684,8,43,8504,19220291,12
49.339,24429,657876,657876,1141684,8,43,8776,19221838,12
50.649,24429,670988,670988,1144444,8,44,9070,19223431,12
51.98,24429,668076,668076,1144276,8,44,9215,19225019,12
53.306,24429,671080,671080,1144276,8,44,9448,19226586,12
54.598,24429,674556,674556,1144276,8,44,9678,19228144,12
55.893,24429,670396,670396,1143220,8,43,9889,19229743,12
57.224,24429,638056,638056,1178676,8,47,10186,19231294,12
58.532,24429,635948,635948,1178676,8,47,10421,19232878,12
59.842,24429,642980,642980,1178716,8,47,10693,19234445,12
61.175,24429,646500,646500,1178676,8,47,10884,19236098,12
61.554,24429,643044,643044,1176564,8,45,10884,19236529,12
62.849,24429,639724,639724,1175508,8,44,10884,19238097,12
64.16,24429,639724,639724,1175508,8,44,10885,19239669,12
65.477,24429,639724,639724,1175508,8,44,10891,19241241,12
