elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.17,25571,150952,150952,165884,12,29,50,19286556,12
1.43,25571,329156,329156,1037812,8,53,195,19288038,12
2.663,25571,530232,530232,1078740,8,52,694,19289530,12
3.933,25571,536868,536868,1085140,8,52,801,19291062,12
5.258,25571,541968,541968,1081556,8,44,1032,19292691,12
6.608,25571,550960,550960,1088020,8,46,1291,19294331,12
6.971,25571,550960,550960,1088020,8,46,1291,19294764,12
8.29,25571,548340,548340,1085908,8,44,1293,19296316,12
9.593,25571,548340,548340,1085908,8,44,1293,19297892,12
10.91,25571,548288,548288,1084852,8,43,1293,19299479,12
