elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads
0.133,27933,66972,66972,1864320,76916,24
1.293,27933,191692,203760,2185688,75336,35
2.459,27933,445136,483800,3018744,75220,52
3.62,27933,559792,743124,3540504,69376,53
4.81,27933,734016,743124,3541016,69376,53
6.023,27933,715356,816420,3541272,69372,53
7.211,27933,738064,818796,3541784,69372,53
8.421,27933,722396,823296,3543864,69272,54
9.628,27933,695644,823296,3543864,69272,54
10.82,27933,695100,823296,3543864,69268,54
12.037,27933,530912,823296,3540696,69264,51
12.271,27933,530912,823296,3540696,69264,51
13.474,27933,530912,823296,3540696,69264,51
14.679,27933,505116,823296,3539640,69264,50
15.869,27933,488192,823296,3537528,69264,48
17.059,27933,488128,823296,3536472,69264,47
