elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,52162,67952,67952,1871016,76780,25,24,137954198,12
1.397,52162,215096,215096,2377568,75020,47,162,137955725,12
2.671,52162,556804,556804,3156256,74872,53,387,137957249,12
3.934,52162,720916,793920,3206976,74848,54,809,137958761,12
5.221,52162,734612,793920,3206176,74844,53,1183,137960321,12
6.522,52162,644808,795276,3209248,69392,53,1522,137961891,12
7.846,52162,760224,795276,3209760,69392,53,1819,137963482,12
9.154,52162,729296,837312,3212096,69280,54,2290,137965064,12
10.47,52162,712560,837312,3212096,69272,54,2436,137966668,12
11.835,52162,568500,837312,3208928,69268,51,2437,137968302,12
12.218,52162,568500,837312,3208928,69268,51,2437,137968763,12
13.557,52162,568500,837312,3208928,69268,51,2438,137970375,12
14.895,52162,521352,837312,3206816,69268,49,2442,137971973,12
16.237,52162,521288,837312,3205760,69268,48,2443,137973568,12
