elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads
0.126,25813,67476,67476,1870464,76880,24
1.288,25813,211188,211188,2185688,75504,35
2.46,25813,460424,499724,3018744,75388,52
3.645,25813,438568,499724,3019256,75092,52
4.83,25813,496336,499724,3108600,75024,52
6.057,25813,694268,694268,3162360,75004,52
7.253,25813,772596,772596,3162616,74992,52
8.47,25813,689872,776636,3162872,74972,52
9.708,25813,694812,776636,3163128,74924,52
10.93,25813,719144,789012,3212792,74912,52
12.145,25813,701180,789012,3213336,69292,53
13.334,25813,667768,789012,3213336,69292,53
14.564,25813,655040,789012,3211224,69288,51
15.775,25813,689520,789012,3210168,69288,50
16.989,25813,692672,789012,3210168,69288,50
18.178,25813,686804,789012,3242936,69288,50
19.371,25813,727116,789012,3242936,69272,50
20.596,25813,669128,789012,3242936,69268,50
21.832,25813,695684,789012,3242136,69268,49
23.055,25813,749820,789012,3242648,69268,49
24.256,25813,779792,789012,3242904,69268,49
25.481,25813,746416,831956,3243160,69268,49
26.712,25813,747512,831956,3242360,69268,48
27.899,25813,700304,831956,3244440,69260,49
29.119,25813,699192,831956,3244440,69260,49
30.316,25813,712836,831956,3244440,69260,49
31.536,25813,712980,831956,3242392,69244,49
32.724,25813,772156,831956,3242392,69244,49
33.934,25813,716352,831956,3242392,69244,49
35.159,25813,725920,831956,3242392,69244,49
36.356,25813,721868,831956,3242392,69244,49
37.562,25813,723008,831956,3242392,69244,49
38.755,25813,733632,831956,3242392,69244,49
39.979,25813,734056,831956,3242648,69244,49
41.179,25813,739864,831956,3241848,69244,48
42.365,25813,750040,831956,3241048,69244,47
43.564,25813,708348,831956,3243416,69232,49
44.788,25813,704812,831956,3243416,69232,49
46.009,25813,677276,831956,3243416,69232,49
47.2,25813,715380,831956,3243416,69232,49
48.403,25813,692200,831956,3242360,69232,48
49.595,25813,733824,831956,3243416,69232,49
50.829,25813,732924,831956,3242392,69220,49
52.042,25813,722348,831956,3242392,69220,49
53.277,25813,723708,831956,3242392,69220,49
54.491,25813,730944,831956,3242392,69220,49
55.718,25813,732324,831956,3242392,69220,49
56.911,25813,808612,831956,3241336,69220,48
58.115,25813,759052,831956,3240536,69220,47
59.33,25813,763156,831956,3240536,69220,47
60.532,25813,745652,834100,3238968,69220,46
61.72,25813,826360,842288,3240280,69220,47
62.947,25813,596344,842288,3236312,69220,43
63.178,25813,596344,842288,3236312,69220,43
64.375,25813,550912,842288,3235256,69220,42
65.555,25813,550912,842288,3235256,69220,42
66.747,25813,550912,842288,3235256,69220,42
67.939,25813,550912,842288,3235256,69220,42
69.114,25813,550912,842288,3235256,69220,42
70.308,25813,550912,842288,3235256,69220,42
71.504,25813,550912,842288,3235256,69220,42
72.695,25813,550912,842288,3235256,69220,42
73.859,25813,550912,842288,3235256,69220,42
75.05,25813,550912,842288,3235256,69220,42
76.243,25813,540536,842288,3235256,69220,42
77.448,25813,540536,842288,3235256,69220,42
78.634,25813,537376,842288,3234296,69220,44
79.835,25813,517684,842288,3234296,69220,44
81.035,25813,517684,842288,3234296,69220,44
82.222,25813,490592,842288,3233240,69220,43
83.425,25813,490592,842288,3233240,69220,43
84.611,25813,490592,842288,3233240,69220,43
85.798,25813,490592,842288,3233240,69220,43
86.99,25813,490592,842288,3233240,69220,43
88.168,25813,490592,842288,3233240,69220,43
89.356,25813,490592,842288,3233240,69220,43
90.556,25813,490592,842288,3233240,69220,43
91.751,25813,461416,842288,3233240,69220,43
92.952,25813,461416,842288,3233240,69220,43
94.153,25813,461408,842288,3232184,69220,42
95.348,25813,461408,842288,3232184,69220,42
96.545,25813,461408,842288,3232184,69220,42
97.729,25813,461092,842288,3231128,69220,41
98.93,25813,461092,842288,3231128,69220,41
100.125,25813,461092,842288,3231128,69220,41
101.313,25813,461092,842288,3231128,69220,41
102.51,25813,461092,842288,3231128,69220,41
103.7,25813,461076,842288,3231128,69220,41
104.884,25813,461076,842288,3231128,69220,41
106.065,25813,461076,842288,3231128,69220,41
107.262,25813,461024,842288,3230072,69220,40
108.449,25813,461024,842288,3230072,69220,40
109.618,25813,461024,842288,3230072,69220,40
110.825,25813,461024,842288,3230072,69220,40
112.028,25813,461024,842288,3230072,69220,40
113.233,25813,461024,842288,3230072,69220,40
114.435,25813,461024,842288,3230072,69220,40
115.642,25813,461040,842288,3231128,69220,41
116.842,25813,461040,842288,3231128,69220,41
118.039,25813,461040,842288,3231128,69220,41
119.235,25813,461040,842288,3231128,69220,41
120.437,25813,460996,842288,3228056,69220,41
121.63,25813,460996,842288,3228056,69220,41
122.803,25813,460996,842288,3228056,69220,41
