elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.139,16979,70840,70840,1865380,76660,25,35,231467888,12
1.416,16979,171860,171860,2443936,74948,49,104,231469437,12
2.721,16979,355644,355644,2472864,74944,49,256,231470988,12
4.009,16979,361136,363500,2473376,74908,49,414,231472577,12
5.374,16979,362268,363500,2473888,74884,49,533,231474205,12
6.688,16979,363176,363500,2474144,74884,49,718,231475762,12
8.027,16979,363812,364208,2474656,74884,49,825,231477425,12
9.424,16979,364228,364716,2475168,74876,49,954,231479043,12
10.749,16979,367520,367520,2475848,74860,49,1165,231480666,12
12.108,16979,372996,372996,2476448,69984,49,1295,231482298,12
13.444,16979,378628,379188,2479776,69892,49,1434,231483874,12
14.798,16979,379148,379444,2478176,69888,47,1547,231485534,12
16.162,16979,380544,380764,2476576,69884,45,1690,231487129,12
17.478,16979,380160,382992,2476288,69860,44,1897,231488725,12
18.8,16979,382588,382992,2476800,69844,44,2036,231490312,12
20.137,16979,381424,383088,2475200,69840,42,2162,231491921,12
21.47,16979,384140,384432,2475624,69832,42,2361,231493544,12
22.837,16979,384028,384904,2474912,69832,41,2486,231495167,12
24.181,16979,385620,385620,2475424,69820,41,2660,231496774,12
25.525,16979,386272,386276,2475680,69812,41,2815,231498400,12
26.892,16979,387480,389780,2479072,68272,43,2933,231500029,12
28.221,16979,390436,390880,2479112,68268,43,3150,231501607,12
29.558,16979,391192,391292,2479072,68256,43,3267,231503233,12
30.894,16979,391244,391572,2478016,68256,42,3380,231504796,12
32.187,16979,391988,392036,2479240,68256,43,3577,231506397,12
33.55,16979,391824,392188,2479072,68256,43,3699,231508021,12
34.876,16979,392900,392900,2479072,68256,43,3868,231509607,12
36.206,16979,392040,393284,2479072,68252,43,3981,231511215,12
37.562,16979,390092,393284,2479072,68252,43,4096,231512820,12
38.912,16979,391600,394448,2479072,68252,43,4364,231514462,12
40.289,16979,393076,394448,2479072,68252,43,4475,231516075,12
41.59,16979,393688,394448,2478184,68252,42,4670,231517681,12
42.954,16979,391100,394448,2478528,68252,42,4789,231519321,12
44.309,16979,393888,394448,2479040,68252,42,4964,231520898,12
45.622,16979,394980,395216,2478240,68248,41,5106,231522502,12
46.974,16979,394388,395620,2478752,68236,41,5227,231524119,12
48.296,16979,396624,396624,2479264,68224,41,5432,231525667,12
49.607,16979,397680,397680,2480032,68220,41,5549,231527299,12
50.972,16979,397044,398116,2480288,68220,41,5670,231528923,12
52.303,16979,401196,405700,2481864,68196,41,5897,231530502,12
53.639,16979,400220,405700,2481824,68192,41,6009,231532136,12
55.003,16979,399416,405700,2481824,68192,41,6125,231533782,12
56.359,16979,400512,405700,2481864,68192,41,6358,231535385,12
57.709,16979,401688,405700,2483936,68188,43,6512,231537018,12
58.068,16979,401688,405700,2483936,68188,43,6512,231537458,12
59.419,16979,401688,405700,2483936,68188,43,6512,231539077,12
60.769,16979,401688,405700,2483936,68188,43,6512,231540698,12
62.113,16979,394752,405700,2484992,68188,44,6514,231542319,12
