elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,20113,74272,74272,1872836,76564,26,25,231712421,12
1.385,20113,209588,221464,2255804,75348,26,150,231713921,12
2.648,20113,344168,360352,2761660,74964,50,292,231715438,12
3.91,20113,712372,774020,3633500,74876,55,650,231716960,12
5.197,20113,809100,842464,3756604,69384,54,1144,231718495,12
6.602,20113,814924,914416,3757628,69376,54,1575,231720194,12
7.898,20113,921308,923500,3758652,69364,54,2028,231721756,12
9.215,20113,740428,925316,3760988,69272,55,2377,231723344,12
10.519,20113,800568,925316,3760988,69268,55,2819,231724908,12
11.825,20113,743936,925316,3760988,69268,55,3306,231726504,12
13.192,20113,601932,925316,3760988,69264,55,3307,231728135,12
13.556,20113,601932,925316,3760988,69264,55,3307,231728588,12
14.884,20113,579584,925316,3759932,69264,54,3309,231730172,12
