elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.141,17075,76524,76524,1865636,75640,25,25,231552226,12
1.394,17075,199952,205252,2248604,75472,25,150,231553734,12
2.658,17075,356544,356544,2782716,75072,52,293,231555258,12
3.95,17075,505564,536692,3077884,74856,52,367,231556836,12
5.311,17075,690396,690396,3119356,74828,52,545,231558512,12
6.692,17075,743384,743384,3171836,74796,52,891,231560104,12
8.007,17075,762060,812276,3262716,74792,52,1238,231561699,12
9.337,17075,751052,812276,3263228,74788,52,1422,231563327,12
10.668,17075,776740,858524,3263740,69896,52,1858,231564885,12
11.962,17075,767896,858524,3265788,69816,52,2115,231566426,12
13.289,17075,772988,858524,3266300,69804,52,2281,231568039,12
14.611,17075,799108,880560,3266180,64464,51,2714,231569638,12
15.968,17075,751512,880560,3266236,64352,50,2847,231571273,12
17.305,17075,765204,880560,3267292,64352,51,3170,231572843,12
18.628,17075,744560,880560,3267292,64352,51,3530,231574481,12
20.004,17075,745284,880560,3266208,64352,49,3603,231576085,12
21.332,17075,767376,880560,3266236,64352,50,4103,231577709,12
22.668,17075,792080,880560,3265180,64352,49,4284,231579282,12
23.965,17075,757524,880560,3265180,64348,49,4759,231580837,12
25.301,17075,721360,880560,3314332,64344,49,4871,231582471,12
26.663,17075,724080,880560,3314332,64344,49,4990,231584080,12
28.016,17075,814220,880560,3314332,64344,49,5357,231585702,12
29.337,17075,763448,880560,3313276,64344,48,5684,231587309,12
30.704,17075,767064,880560,3312732,64344,47,5843,231588988,12
32.079,17075,795500,880560,3312988,64344,47,6291,231590576,12
33.366,17075,775752,880560,3313756,64344,47,6534,231592121,12
34.708,17075,779820,880560,3312956,64344,46,6697,231593736,12
36.034,17075,784760,887308,3313724,64344,46,7137,231595330,12
37.372,17075,788388,887308,3314492,64344,46,7242,231596951,12
38.683,17075,817244,900016,3316060,64344,47,7538,231598515,12
40.024,17075,799556,900016,3318332,64344,46,7911,231600144,12
41.382,17075,799068,900016,3318972,64344,50,8040,231601762,12
42.705,17075,765396,900016,3318972,64344,50,8468,231603320,12
44.02,17075,743744,900016,3318972,64344,50,8726,231604953,12
45.4,17075,759176,900016,3318972,64344,50,8877,231606555,12
46.703,17075,757332,900016,3318972,64344,50,9356,231608167,12
48.073,17075,759776,900016,3318972,64344,50,9468,231609816,12
49.424,17075,783084,900016,3318972,64344,50,9835,231611388,12
50.765,17075,782044,900016,3318972,64344,50,10083,231613025,12
52.114,17075,767156,900016,3318972,64344,50,10229,231614609,12
53.393,17075,776344,900016,3317916,64344,49,10678,231616153,12
54.667,17075,684100,900016,3317916,64344,49,11117,231617691,12
56.008,17075,734580,900016,3315804,64344,47,11191,231619333,12
57.352,17075,742124,900016,3315804,64344,47,11338,231620896,12
58.661,17075,836940,900016,3315804,64344,47,11735,231622469,12
59.965,17075,778796,900016,3313276,64332,48,12072,231624050,12
61.287,17075,781896,900016,3313276,64332,48,12185,231625658,12
62.654,17075,789568,900016,3313276,64332,48,12704,231627276,12
63.989,17075,789240,900016,3313276,64332,48,12885,231628880,12
65.294,17075,875536,900016,3313276,64332,48,13105,231630417,12
66.602,17075,809604,900016,3313276,64332,48,13491,231632037,12
67.96,17075,812968,900016,3311228,64332,48,13607,231633662,12
69.304,17075,830600,908448,3311228,64332,48,13981,231635239,12
70.62,17075,794028,908448,3311228,64328,48,14286,231636866,12
71.998,17075,742504,908448,3311228,64328,48,14395,231638519,12
73.352,17075,753464,908448,3311228,64324,48,14947,231640114,12
74.66,17075,750540,908448,3310172,64324,47,15146,231641711,12
76.003,17075,852044,908448,3310172,64324,47,15372,231643275,12
77.285,17075,760464,908448,3311964,64288,47,15758,231644867,12
78.619,17075,868684,908448,3311964,64288,47,15994,231646423,12
79.943,17075,618816,908448,3311964,64288,47,16375,231648065,12
80.336,17075,618816,908448,3311964,64288,47,16375,231648526,12
81.671,17075,618816,908448,3311964,64288,47,16375,231650128,12
83.003,17075,618816,908448,3311964,64288,47,16375,231651737,12
84.342,17075,587384,908448,3310908,64288,46,16378,231653329,12
