elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.138,19747,73492,73492,1871268,76596,25,27,231691221,12
1.379,19747,215524,215524,2254236,75504,25,151,231692718,12
2.638,19747,358540,358540,2779548,75100,49,292,231694228,12
3.892,19747,565996,615836,3220220,74868,52,548,231695739,12
5.15,19747,744792,841460,3261692,74852,52,935,231697266,12
6.43,19747,763872,843788,3263260,74844,53,1354,231698788,12
7.717,19747,730704,843788,3265020,74772,52,1605,231700368,12
9.03,19747,811412,843788,3265532,74764,52,2038,231701927,12
10.331,19747,717376,854416,3266556,74736,52,2350,231703472,12
11.652,19747,584340,854416,3269148,69248,53,2413,231705124,12
12.032,19747,584340,854416,3269148,69248,53,2413,231705547,12
13.36,19747,584340,854416,3269148,69248,53,2414,231707154,12
