elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.131,48889,68336,68336,1870724,76780,24,26,226670513,12
1.391,48889,195652,207844,2172828,75352,25,151,226672020,12
2.652,48889,337316,337316,2697628,74952,49,292,226673541,12
3.932,48889,489268,528868,2995708,74872,52,361,226675119,12
5.293,48889,490756,528868,2995964,74872,52,370,226676746,12
6.631,48889,745568,745568,3138812,74852,52,740,226678385,12
7.986,48889,796704,796704,3139068,74832,52,841,226679955,12
9.306,48889,736828,831300,3181820,74768,52,1206,226681582,12
10.648,48889,783136,831300,3181820,74760,52,1271,226683133,12
11.967,48889,741880,845140,3184668,69272,53,1571,226684728,12
13.257,48889,764692,845140,3184668,69268,53,1730,226686277,12
14.573,48889,712436,845140,3182556,69264,51,2042,226687897,12
15.909,48889,759492,845140,3182556,69264,51,2121,226689460,12
17.246,48889,730776,845140,3180444,69264,49,2420,226691083,12
18.559,48889,745832,845140,3181500,69264,50,2650,226692666,12
19.888,48889,697680,845140,3180444,69248,49,3045,226694231,12
21.207,48889,696784,845140,3180444,69248,49,3054,226695861,12
22.516,48889,733604,845140,3181500,69248,50,3227,226697371,12
23.836,48889,737696,845140,3180444,69248,49,3446,226699002,12
25.176,48889,751988,845140,3180444,69248,49,3647,226700582,12
26.517,48889,755208,845140,3179388,69248,48,3909,226702231,12
27.827,48889,760836,845140,3179644,69248,48,4080,226703754,12
29.161,48889,764856,845140,3179100,69248,47,4277,226705390,12
30.471,48889,752456,850620,3229564,69248,48,4462,226706963,12
31.818,48889,759184,850620,3230780,69248,46,4770,226708573,12
33.116,48889,838720,850620,3234716,69248,49,4891,226710092,12
34.407,48889,703176,854732,3234716,69248,49,5212,226711703,12
35.75,48889,738976,854732,3234716,69248,49,5276,226713259,12
37.085,48889,711644,854732,3234716,69248,49,5595,226714911,12
38.397,48889,802932,854732,3234716,69248,49,5734,226716441,12
39.717,48889,719608,854732,3234716,69248,49,6087,226718074,12
41.055,48889,769456,854732,3234716,69248,49,6161,226719622,12
42.347,48889,799668,854732,3234716,69248,49,6576,226721192,12
43.661,48889,662092,854732,3234716,69248,49,6969,226722765,12
45.003,48889,713444,854732,3234716,69248,49,7009,226724423,12
46.328,48889,769608,854732,3234716,69248,49,7088,226725953,12
47.665,48889,777840,854732,3233660,69248,48,7391,226727620,12
49.0,48889,789596,873192,3233660,69248,48,7568,226729168,12
50.337,48889,785752,873192,3232604,69248,47,7843,226730802,12
51.653,48889,802056,882788,3233660,69248,48,8024,226732353,12
52.985,48889,782420,882788,3231548,69248,46,8239,226733977,12
54.292,48889,807788,891372,3232604,69248,47,8422,226735536,12
55.655,48889,788176,891372,3230588,69248,48,8718,226737213,12
57.007,48889,808624,891372,3231644,69248,49,8890,226738766,12
58.317,48889,730096,891372,3230588,69248,48,9206,226740383,12
59.646,48889,824212,891372,3230588,69248,48,9350,226741933,12
60.937,48889,742460,891372,3230332,69248,48,9627,226743516,12
62.254,48889,765964,891372,3230588,69248,48,9845,226745089,12
63.614,48889,582972,891372,3228252,69232,47,10144,226746754,12
63.984,48889,582972,891372,3228252,69232,47,10144,226747176,12
65.315,48889,582972,891372,3228252,69232,47,10144,226748788,12
66.647,48889,580604,891372,3228252,69232,47,10145,226750352,12
67.959,48889,580604,891372,3228252,69232,47,10145,226751950,12
69.277,48889,580604,891372,3228252,69232,47,10145,226753527,12
70.592,48889,580604,891372,3228252,69232,47,10147,226755117,12
71.933,48889,557372,891372,3227196,69232,46,10147,226756730,12
73.274,48889,557372,891372,3227196,69232,46,10147,226758342,12
74.592,48889,557372,891372,3227196,69232,46,10147,226759917,12
75.918,48889,557324,891372,3226140,69232,45,10147,226761488,12
77.245,48889,557324,891372,3226140,69232,45,10147,226763082,12
78.569,48889,553304,891372,3220764,68560,45,10155,226764688,12
