elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.146,23139,71792,71792,1872700,76696,26,27,222829914,12
1.406,23139,256288,260156,2664968,75152,50,166,222831410,12
2.664,23139,527412,557600,3117200,74860,53,422,222832942,12
3.957,23139,687912,795820,3158672,74852,53,816,222834492,12
5.248,23139,713836,797796,3159188,74840,53,1342,222836047,12
6.548,23139,694336,797796,3159408,74796,53,1620,222837598,12
7.852,23139,707728,797796,3159660,74796,53,2061,222839171,12
9.17,23139,534264,797796,3210020,69272,53,2143,222840793,12
9.538,23139,534264,797796,3210020,69272,53,2143,222841248,12
10.878,23139,534268,797796,3210020,69268,53,2143,222842819,12
12.183,23139,534268,797796,3210020,69268,53,2143,222844367,12
13.461,23139,534268,797796,3210020,69268,53,2143,222845927,12
