elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.156,29553,104648,104648,1922464,75556,25,29,223788701,12
1.433,29553,196288,206664,2659740,74984,49,170,223790231,12
2.688,29553,522232,538236,3121916,74856,52,386,223791726,12
3.949,29553,657652,765292,3164444,74848,53,795,223793243,12
5.215,29553,687772,767600,3164700,74844,53,1204,223794774,12
6.487,29553,740416,767600,3164156,74792,52,1528,223796302,12
7.771,29553,719252,799248,3165724,69376,53,1937,223797842,12
9.054,29553,697952,799248,3168060,69268,54,2363,223799387,12
10.348,29553,221692,799248,3149052,69260,36,2646,223800943,12
11.649,29553,460348,799248,3167004,69256,53,2783,223802506,12
12.944,29553,706380,799248,3167004,69256,53,3189,223804062,12
14.241,29553,702876,807952,3164892,69256,51,3609,223805614,12
15.547,29553,266308,807952,3146180,64372,33,4005,223807193,12
16.87,29553,389380,807952,3164092,64372,50,4143,223808779,12
18.162,29553,542220,807952,3164860,64356,50,4410,223810309,12
19.457,29553,693288,807952,3163804,64356,49,4857,223811917,12
20.806,29553,710468,807952,3163804,64356,49,5369,223813496,12
21.155,29553,514328,807952,3164860,64356,50,5378,223813948,12
22.486,29553,494156,807952,3163804,64356,49,5382,223815521,12
23.805,29553,491880,807952,3162748,64356,48,5383,223817130,12
25.141,29553,491880,807952,3162748,64356,48,5383,223818733,12
26.482,29553,491880,807952,3162748,64356,48,5383,223820344,12
27.794,29553,491880,807952,3162748,64356,48,5383,223821919,12
29.147,29553,491880,807952,3162748,64356,48,5383,223823542,12
30.478,29553,491928,807952,3162748,64356,48,5383,223825143,12
31.806,29553,491940,807952,3162748,64356,48,5383,223826739,12
33.16,29553,491836,807952,3161692,64356,47,5383,223828357,12
34.519,29553,491836,807952,3161692,64356,47,5383,223830000,12
35.871,29553,491836,807952,3161692,64356,47,5383,223831604,12
37.195,29553,490540,807952,3156764,63684,45,5390,223833207,12
38.55,29553,490540,807952,3156764,63684,45,5390,223834828,12
39.894,29553,490356,807952,3155708,63684,44,5390,223836447,12
41.237,29553,490356,807952,3155708,63684,44,5390,223838067,12
42.599,29553,490356,807952,3155708,63684,44,5390,223839685,12
43.942,29553,490356,807952,3155708,63684,44,5390,223841299,12
45.293,29553,490356,807952,3155708,63684,44,5390,223842894,12
46.627,29553,490084,807952,3155708,63684,44,5392,223844511,12
47.963,29553,490084,807952,3155708,63684,44,5392,223846110,12
49.29,29553,490084,807952,3155708,63684,44,5392,223847722,12
50.621,29553,490084,807952,3155708,63684,44,5392,223849310,12
51.954,29553,490084,807952,3155708,63684,44,5392,223850910,12
53.262,29553,490084,807952,3155708,63684,44,5392,223852482,12
54.609,29553,490084,807952,3155708,63684,44,5392,223854113,12
55.951,29553,490084,807952,3155708,63684,44,5392,223855701,12
57.284,29553,490084,807952,3155708,63684,44,5392,223857307,12
58.623,29553,490084,807952,3155708,63684,44,5392,223858920,12
59.967,29553,490084,807952,3155708,63684,44,5392,223860527,12
61.294,29553,490064,807952,3154652,63684,43,5392,223862116,12
62.626,29553,490064,807952,3154652,63684,43,5392,223863731,12
63.981,29553,490064,807952,3154652,63684,43,5392,223865332,12
65.301,29553,490064,807952,3154652,63684,43,5392,223866921,12
66.64,29553,490064,807952,3154652,63684,43,5392,223868539,12
67.988,29553,490064,807952,3154652,63684,43,5392,223870147,12
69.325,29553,490064,807952,3154652,63684,43,5392,223871760,12
70.684,29553,490108,807952,3155708,63684,44,5393,223873404,12
72.038,29553,490108,807952,3155708,63684,44,5393,223875003,12
73.374,29553,490108,807952,3155708,63684,44,5393,223876595,12
74.698,29553,490108,807952,3155708,63684,44,5393,223878196,12
76.038,29553,490108,807952,3155708,63684,44,5393,223879801,12
