elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.149,37405,67552,67552,1872556,76868,26,26,11554999,12
1.407,37405,190580,209068,2255780,75372,26,152,11556507,12
2.668,37405,306600,306600,2761636,74944,50,286,11558044,12
3.951,37405,491736,491736,2794916,74872,50,426,11559572,12
5.271,37405,499284,499704,2795684,74864,50,542,11561182,12
6.628,37405,501548,501548,2796196,74824,50,654,11562818,12
7.955,37405,499636,502752,2796708,74812,50,804,11564422,12
9.312,37405,502204,504048,2797220,74808,50,940,11566043,12
10.678,37405,505836,509092,2798756,74760,50,1098,11567685,12
12.049,37405,515472,515472,2799524,69868,50,1217,11569342,12
13.407,37405,511228,515848,2800092,69856,50,1358,11570956,12
14.765,37405,517492,517492,2798436,69832,48,1576,11572578,12
16.105,37405,518776,518776,2798204,69828,47,1726,11574178,12
17.471,37405,517532,521324,2799908,69808,46,1792,11575850,12
18.853,37405,522704,522704,2799364,69800,45,1995,11577456,12
20.151,37405,523160,523184,2797764,69800,43,2159,11579038,12
21.468,37405,524736,524800,2798276,69800,43,2345,11580618,12
22.788,37405,529964,529964,2804036,68252,47,2550,11582184,12
24.095,37405,530556,530664,2804092,68232,47,2711,11583802,12
25.492,37405,530668,530952,2802980,68228,46,2856,11585457,12
26.85,37405,530472,531364,2802980,68228,46,3015,11587044,12
28.149,37405,531624,531772,2803164,68220,46,3180,11588657,12
29.536,37405,531832,532312,2802980,68220,46,3309,11590315,12
30.866,37405,533580,533624,2802980,68220,46,3472,11591877,12
32.223,37405,533380,533956,2802980,68208,46,3615,11593546,12
33.604,37405,534084,538284,2802980,68184,46,3803,11595201,12
34.976,37405,537992,538284,2802980,68184,46,3928,11596832,12
36.334,37405,537696,538708,2802980,68184,46,4076,11598472,12
37.668,37405,536612,538972,2800868,68184,44,4245,11600035,12
38.982,37405,539032,539060,2800868,68180,44,4376,11601630,12
40.303,37405,539732,539732,2801052,68180,44,4507,11603210,12
41.649,37405,539700,540240,2798756,68180,42,4628,11604841,12
42.993,37405,540668,540868,2799268,68180,42,4785,11606426,12
44.32,37405,542708,542708,2801316,68180,42,4871,11608021,12
45.622,37405,544164,544220,2801828,68180,42,5057,11609602,12
46.972,37405,544872,545580,2802340,68180,42,5199,11611249,12
48.326,37405,547896,547896,2843812,68180,42,5440,11612835,12
49.643,37405,548040,548172,2846748,68172,44,5602,11614421,12
50.995,37405,548416,548456,2847204,68164,44,5739,11616075,12
52.382,37405,540960,548540,2843940,68124,46,5790,11617732,12
53.729,37405,544232,548540,2843940,68124,46,5977,11619324,12
55.074,37405,544552,548540,2843996,68124,46,6145,11620937,12
56.398,37405,545092,548540,2843996,68124,46,6290,11622559,12
57.717,37405,545744,548540,2843940,68124,46,6438,11624142,12
59.072,37405,542972,548540,2843940,68120,46,6547,11625712,12
60.395,37405,545128,548540,2843940,68112,46,6620,11627346,12
61.764,37405,546920,548540,2843996,68112,46,6838,11628957,12
63.062,37405,548364,548540,2843996,68112,46,6978,11630506,12
64.374,37405,548980,548980,2843068,68112,45,7123,11632118,12
65.736,37405,545188,549384,2839556,68108,45,7241,11633765,12
67.119,37405,541444,549384,2838500,68108,44,7387,11635387,12
68.431,37405,545652,549384,2837444,68108,43,7606,11636970,12
69.766,37405,548128,549384,2839556,68108,45,7785,11638586,12
