elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.142,42285,77784,77784,1872812,75668,26,27,12064108,12
1.401,42285,204956,217448,2255780,75372,26,153,12065619,12
2.669,42285,324868,324868,2780580,74888,50,287,12067162,12
3.956,42285,507384,507996,2781092,74864,50,436,12068713,12
5.254,42285,515796,515796,2781604,74864,50,561,12070276,12
6.564,42285,517584,517584,2782116,74832,50,702,12071820,12
7.858,42285,519060,519060,2782628,74812,50,807,12073390,12
9.217,42285,523920,524176,2784164,74760,50,890,12075061,12
10.562,42285,530744,530756,2791844,69868,50,1035,12076650,12
11.917,42285,531516,531620,2792612,69864,50,1172,12078293,12
13.283,42285,531784,532728,2793124,69864,50,1331,12079914,12
14.631,42285,531432,533504,2791524,69844,48,1471,12081516,12
15.936,42285,530764,534152,2789924,69828,46,1623,12083076,12
17.243,42285,536500,536500,2791460,69808,46,1736,12084658,12
18.555,42285,537608,537608,2790916,69804,45,1863,12086220,12
19.873,42285,538260,538628,2789316,69796,43,2065,12087824,12
21.225,42285,539252,539272,2789828,69796,43,2218,12089473,12
22.583,42285,542404,542404,2825916,69776,45,2508,12091079,12
23.932,42285,546536,546540,2829636,68228,47,2630,12092700,12
25.259,42285,547088,547204,2828580,68216,46,2801,12094310,12
26.619,42285,547200,547248,2828580,68216,46,2943,12095931,12
27.982,42285,548184,548248,2828580,68216,46,3078,12097566,12
29.351,42285,549076,549324,2828580,68204,46,3225,12099175,12
30.691,42285,549720,550108,2828580,68200,46,3386,12100806,12
32.013,42285,550916,551060,2828636,68192,46,3536,12102390,12
33.323,42285,549588,552364,2828580,68188,46,3701,12103945,12
34.665,42285,551364,552552,2828580,68176,46,3763,12105552,12
36.01,42285,548888,552924,2828580,68176,46,3925,12107165,12
37.343,42285,554164,554164,2828580,68176,46,4086,12108791,12
38.706,42285,554776,554912,2827524,68172,45,4240,12110451,12
40.068,42285,554884,555208,2826524,68172,44,4379,12112098,12
41.455,42285,554608,555764,2826468,68172,44,4533,12113729,12
42.807,42285,554204,556392,2824356,68172,42,4692,12115332,12
44.123,42285,556500,557060,2824356,68172,42,4838,12116947,12
45.451,42285,558188,558188,2824612,68172,42,5000,12118505,12
46.766,42285,560592,560592,2826660,68172,42,5078,12120079,12
48.116,42285,561488,561488,2827172,68172,42,5243,12121693,12
49.43,42285,562796,562892,2827684,68160,42,5436,12123285,12
50.774,42285,563344,563620,2828196,68152,42,5587,12124921,12
52.149,42285,563908,565124,2830820,68140,44,5784,12126578,12
53.494,42285,565672,565672,2831516,68140,44,5939,12128187,12
54.819,42285,560292,566056,2828324,68136,46,6139,12129733,12
56.152,42285,557676,566056,2828324,68136,46,6222,12131380,12
57.518,42285,560792,566056,2828324,68132,46,6361,12132981,12
58.828,42285,561732,566056,2828324,68132,46,6525,12134556,12
60.143,42285,561544,566056,2827300,68124,46,6649,12136141,12
61.459,42285,561976,566056,2827300,68124,46,6793,12137718,12
62.797,42285,560044,566056,2827300,68120,46,6903,12139356,12
64.149,42285,562596,566056,2827484,68120,46,7040,12140989,12
65.523,42285,563548,566056,2827300,68120,46,7110,12142583,12
66.823,42285,562904,566056,2826244,68116,45,7261,12144172,12
68.175,42285,565036,566056,2826244,68112,45,7470,12145774,12
69.508,42285,565256,566056,2826244,68104,45,7524,12147392,12
70.878,42285,564800,566056,2824132,68104,43,7682,12149061,12
72.245,42285,562324,566056,2820220,68100,43,7902,12150679,12
73.607,42285,557516,566056,2821092,68096,44,8089,12152343,12
