elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,61956,73644,73644,1869252,76560,26,25,305621595,12
1.397,61956,202500,208292,2252220,75480,26,152,305623115,12
2.664,61956,359272,359272,2783772,75080,53,295,305624637,12
3.941,61956,724692,770516,3592540,69380,55,690,305626169,12
5.217,61956,981800,981800,3764284,69376,54,1156,305627703,12
6.491,61956,998668,1049968,3766076,69356,54,1557,305629227,12
7.784,61956,956728,1062812,3767388,69356,55,1996,305630793,12
9.096,61956,970388,1062812,3767868,69264,54,2347,305632366,12
10.394,61956,976280,1062812,3767868,69260,54,2793,305633926,12
11.744,61956,770744,1062812,3767868,69260,54,3177,305635597,12
13.088,61956,1018660,1062812,3770428,69252,54,3701,305637166,12
14.39,61956,911792,1062812,3770428,64364,54,4123,305638731,12
15.687,61956,992252,1062812,3769372,64364,53,4507,305640272,12
16.984,61956,989928,1062812,3768316,64364,52,4886,305641832,12
18.292,61956,902312,1062812,3767260,64364,51,5257,305643413,12
19.633,61956,906716,1062812,3766204,64364,50,5634,305645020,12
20.943,61956,898624,1062812,3766204,64364,50,6020,305646585,12
22.25,61956,931524,1062812,3766460,64364,50,6470,305648173,12
23.558,61956,925180,1062812,3766428,64364,49,6855,305649722,12
24.881,61956,782572,1062812,3766684,64364,49,7273,305651349,12
26.218,61956,974620,1062812,3769020,64356,50,7723,305652924,12
27.518,61956,987588,1075836,3770588,64356,51,8160,305654469,12
28.805,61956,1004472,1076496,3769788,64356,50,8579,305656014,12
30.092,61956,985796,1080052,3769244,64356,49,8945,305657560,12
31.39,61956,1019180,1080052,3769756,64356,49,9318,305659121,12
32.705,61956,989484,1081440,3768956,64356,48,9725,305660701,12
34.03,61956,996440,1084092,3772796,64356,48,10109,305662308,12
35.367,61956,998316,1089480,3773052,64356,48,10555,305663902,12
36.717,61956,844556,1089480,3773052,64356,48,10620,305665558,12
37.083,61956,844556,1089480,3773052,64356,48,10620,305665977,12
38.383,61956,844556,1089480,3773052,64356,48,10620,305667560,12
39.744,61956,814972,1089480,3771996,64356,47,10622,305669185,12
41.078,61956,814972,1089480,3771996,64356,47,10623,305670805,12
