elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.134,62233,54940,54940,1866548,81484,22,24,305700942,12
1.421,62233,214288,214288,2254748,75344,25,152,305702468,12
2.685,62233,367576,367576,2789884,74956,52,294,305703989,12
3.966,62233,515444,549280,3085052,74880,52,362,305705542,12
5.323,62233,698912,700260,3126524,74848,52,533,305707206,12
6.683,62233,785980,785980,3233532,74820,52,883,305708792,12
8.016,62233,767324,822084,3234044,74816,52,1227,305710453,12
9.401,62233,771496,822084,3234812,74812,52,1347,305712093,12
10.742,62233,776912,877960,3235324,74804,52,1840,305713698,12
12.092,62233,787532,877960,3237116,69836,52,2049,305715342,12
13.436,62233,881732,897704,3303420,69828,52,2318,305716906,12
14.785,62233,775472,897704,3305212,64392,52,2651,305718555,12
16.12,62233,757860,897704,3305212,64384,52,2840,305720130,12
17.421,62233,760172,897704,3302044,64384,49,3239,305721692,12
18.752,62233,760968,897704,3302044,64384,49,3457,305723324,12
20.097,62233,861440,897704,3302044,64384,49,3778,305724912,12
21.438,62233,770756,897704,3302044,64384,49,4082,305726542,12
22.759,62233,788420,897704,3303100,64380,50,4326,305728128,12
24.127,62233,770780,897704,3302044,64376,49,4688,305729768,12
25.497,62233,776740,897704,3302044,64376,49,4808,305731422,12
26.859,62233,866564,897704,3302084,64376,49,5193,305733022,12
28.196,62233,786272,897704,3302044,64376,49,5578,305734646,12
29.548,62233,789312,897704,3300444,64376,47,5702,305736277,12
30.879,62233,796840,897704,3300956,64376,47,6188,305737889,12
32.221,62233,798272,897704,3301636,64376,47,6391,305739480,12
33.55,62233,856972,897704,3300924,64376,46,6590,305741042,12
34.886,62233,807056,909100,3300380,64376,45,6989,305742690,12
36.28,62233,809688,909100,3301148,64376,45,7109,305744356,12
37.614,62233,833516,920768,3302716,64376,46,7514,305745923,12
38.951,62233,822292,920768,3306300,64376,46,7807,305747562,12
40.321,62233,837092,920768,3305372,64376,49,7968,305749164,12
41.623,62233,764868,920768,3305372,64376,49,8470,305750733,12
42.956,62233,764660,920768,3305372,64376,49,8595,305752357,12
44.291,62233,786536,920768,3306428,64376,50,8952,305753950,12
45.644,62233,770848,920768,3305372,64376,49,9217,305755598,12
46.988,62233,779256,920768,3305412,64376,49,9445,305757213,12
48.319,62233,782420,920768,3305372,64376,49,9866,305758784,12
49.641,62233,784552,920768,3305372,64376,49,10043,305760363,12
50.949,62233,876424,920768,3305372,64376,49,10304,305761918,12
52.251,62233,866112,920768,3305372,64376,49,10721,305763478,12
53.564,62233,785832,920768,3304316,64376,48,11016,305765104,12
54.94,62233,792844,920768,3303260,64376,47,11144,305766719,12
56.267,62233,898468,920768,3303428,64376,47,11548,305768306,12
57.564,62233,798392,920768,3301788,64360,49,11870,305769855,12
58.881,62233,801800,920768,3300732,64360,48,12032,305771479,12
60.243,62233,808148,920768,3300732,64360,48,12514,305773094,12
61.575,62233,808548,920768,3300900,64360,48,12751,305774725,12
62.918,62233,891152,920768,3300732,64360,48,12971,305776293,12
64.256,62233,819000,920768,3300900,64360,48,13343,305777926,12
65.637,62233,820944,920768,3299196,64352,48,13463,305779602,12
66.978,62233,829064,928540,3298140,64352,47,13872,305781157,12
68.32,62233,811912,928540,3298140,64348,47,14167,305782798,12
69.679,62233,760296,928540,3298140,64348,47,14281,305784407,12
70.983,62233,770140,928540,3299196,64336,48,14844,305785970,12
72.301,62233,770400,928540,3298140,64336,47,15044,305787596,12
73.639,62233,860108,928540,3298140,64336,47,15262,305789148,12
74.946,62233,779600,928540,3299932,64336,47,15661,305790740,12
76.269,62233,863424,928540,3299932,64336,47,15918,305792312,12
77.619,62233,778992,928540,3299932,64336,47,16264,305793970,12
