elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.143,54202,73464,73464,1872324,76612,26,26,304644170,12
1.399,54202,185360,209356,2157500,75360,26,152,304645682,12
2.653,54202,237844,237844,2764828,74972,53,292,304647184,12
3.914,54202,477880,540860,3255612,74872,54,522,304648697,12
5.176,54202,683580,794208,3256124,74856,54,897,304650239,12
6.461,54202,714424,794208,3256636,74848,54,1270,304651784,12
7.769,54202,699056,794208,3307804,69380,53,1558,304653338,12
9.061,54202,764168,794208,3310140,69280,54,2005,304654889,12
10.348,54202,700668,794208,3310140,69276,54,2351,304656444,12
11.656,54202,509580,794208,3306972,69276,51,2711,304658032,12
12.977,54202,367472,794208,3310140,69268,54,2861,304659616,12
14.288,54202,529484,794208,3309084,69268,53,3127,304661184,12
15.598,54202,704188,802796,3308540,69268,52,3514,304662739,12
16.898,54202,715092,802796,3307740,69268,51,3971,304664293,12
18.201,54202,319144,802796,3305852,64380,48,4251,304665860,12
19.506,54202,547612,802796,3308476,64368,50,4432,304667428,12
20.805,54202,776544,809592,3341244,64368,50,4877,304668986,12
22.104,54202,697444,809592,3339132,64368,48,5225,304670552,12
23.436,54202,563032,809592,3340188,64364,49,5570,304672186,12
