elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.13,61155,67572,67572,1865636,76656,25,26,305559011,12
1.398,61155,221548,221548,2248604,75296,25,153,305560533,12
2.671,61155,206436,243544,2750876,74940,49,295,305562063,12
3.938,61155,512608,512608,3167996,74848,52,495,305563578,12
5.207,61155,777804,778356,3225852,74824,52,915,305565114,12
6.487,61155,706552,778356,3226108,74820,52,1272,305566641,12
7.773,61155,797232,797232,3229436,69344,52,1694,305568202,12
9.07,61155,677824,817264,3232828,69248,54,2119,305569757,12
10.377,61155,740624,817264,3231772,69244,53,2493,305571324,12
11.699,61155,294172,817264,3206428,69244,29,2829,305572925,12
13.019,61155,436692,817264,3231772,69236,53,2965,305574497,12
14.324,61155,536880,817264,3229660,69236,51,3223,305576072,12
15.642,61155,716204,819164,3295964,69236,51,3638,305577670,12
16.993,61155,721644,821000,3294908,69236,50,4172,305579254,12
18.301,61155,392172,821000,3296700,64336,50,4357,305580836,12
19.611,61155,554228,821000,3295644,64336,49,4566,305582405,12
20.901,61155,690228,821000,3295644,64336,49,4994,305583942,12
22.194,61155,729876,821000,3294588,64336,48,5353,305585502,12
23.546,61155,706316,821000,3294588,64336,48,5671,305587160,12
