elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.499,33153,120640,120640,2157488,84924,40,80,2757689728,12
1.831,33153,217272,217272,2783404,84748,72,233,2757691236,12
3.104,33153,476664,476664,3151276,84656,72,417,2757692790,12
4.431,33153,490676,490676,3154860,84592,72,613,2757694400,12
5.744,33153,495604,502848,3174572,84536,72,835,2757695996,12
7.083,33153,499080,502848,3178156,84516,72,1063,2757697583,12
8.385,33153,505172,513444,3180972,84476,72,1308,2757699118,12
9.688,33153,509664,513444,3184556,84468,72,1510,2757700688,12
11.023,33153,520392,525536,3180460,82976,72,1769,2757702304,12
12.373,33153,516488,525536,3180460,82976,72,2042,2757703961,12
13.758,33153,534320,535240,3212172,82956,71,2339,2757705615,12
15.085,33153,522828,535240,3203916,82944,69,2544,2757707162,12
16.43,33153,520336,535240,3203116,82944,68,2815,2757708794,12
17.787,33153,517928,535240,3200076,82944,69,3036,2757710403,12
19.092,33153,528060,535240,3198284,82924,69,3337,2757711991,12
20.448,33153,522680,535240,3197228,82864,68,3578,2757713653,12
21.85,33153,540256,540256,3197484,82864,68,3911,2757715285,12
23.152,33153,527104,540612,3197484,82852,68,4155,2757716847,12
24.463,33153,539988,540612,3198508,82852,68,4356,2757718414,12
25.794,33153,527336,543868,3200044,82852,68,4631,2757720053,12
27.157,33153,531832,543868,3200300,82852,68,4892,2757721639,12
28.436,33153,536188,544172,3200556,82852,68,5180,2757723257,12
29.813,33153,535232,544172,3199500,82848,67,5451,2757724858,12
31.131,33153,539476,546204,3242028,82848,68,5716,2757726431,12
32.466,33153,544884,546204,3240972,82848,67,5940,2757728013,12
33.777,33153,541536,557132,3242540,82848,68,6221,2757729640,12
35.143,33153,543452,557132,3242540,82848,68,6493,2757731235,12
36.443,33153,548180,557132,3243052,82848,68,6815,2757732786,12
37.764,33153,554008,559960,3247660,77964,68,6968,2757734422,12
39.09,33153,564024,569684,3247660,77964,68,7288,2757735978,12
40.391,33153,562940,569684,3247916,77964,68,7536,2757737562,12
41.706,33153,567288,576912,3247916,77964,68,7797,2757739096,12
43.015,33153,569212,576912,3248172,77964,68,8009,2757740671,12
44.337,33153,568872,576912,3246604,74264,67,8246,2757742300,12
45.684,33153,526288,576912,3247660,74264,68,8519,2757743913,12
47.026,33153,529068,576912,3247916,74264,68,8758,2757745534,12
48.347,33153,529848,576912,3246860,74264,67,9063,2757747079,12
49.663,33153,531040,576912,3246860,74264,67,9284,2757748668,12
50.966,33153,534280,576912,3247916,74264,68,9551,2757750248,12
52.311,33153,537360,576912,3247916,74264,68,9801,2757751879,12
53.644,33153,540560,576912,3247916,74264,68,10101,2757753466,12
54.999,33153,540588,576912,3250732,74264,68,10270,2757755072,12
56.303,33153,551424,576912,3250732,74264,68,10536,2757756671,12
57.684,33153,539164,576912,3250732,74264,68,10791,2757758337,12
59.004,33153,548688,576912,3250732,74264,68,11087,2757759869,12
60.291,33153,546988,576912,3250988,74264,68,11341,2757761426,12
61.605,33153,545132,576912,3250988,74264,68,11546,2757762981,12
62.907,33153,548936,576912,3252780,74260,68,11803,2757764577,12
64.222,33153,547728,576912,3252780,74260,68,12047,2757766137,12
65.563,33153,552684,576912,3252780,74260,68,12285,2757767737,12
66.918,33153,552656,576912,3251724,74260,67,12512,2757769389,12
68.262,33153,556780,576912,3253036,74260,68,12780,2757771015,12
69.61,33153,550540,576912,3253036,74260,68,13050,2757772626,12
70.921,33153,554012,576912,3253036,74260,68,13313,2757774191,12
72.249,33153,553880,576912,3253036,74260,68,13549,2757775759,12
73.551,33153,558272,576912,3253036,74260,68,13768,2757777320,12
74.888,33153,554720,576912,3253036,74260,68,14004,2757778950,12
76.218,33153,562416,576912,3253036,74256,68,14295,2757780527,12
77.526,33153,558896,576912,3253292,74256,68,14561,2757782118,12
78.866,33153,559680,576912,3252300,74252,69,14835,2757783711,12
80.212,33153,534056,576912,3252300,74252,69,15052,2757785316,12
81.522,33153,534500,576912,3255884,74240,69,15314,2757786942,12
82.867,33153,538632,576912,3256140,74240,69,15601,2757788504,12
84.198,33153,540636,576912,3256140,74240,69,15822,2757790101,12
85.531,33153,551536,576912,3256140,74240,69,16097,2757791724,12
86.888,33153,542036,576912,3256140,74240,69,16351,2757793373,12
88.224,33153,551816,576912,3257420,74240,69,16605,2757794941,12
89.557,33153,544092,576912,3257676,74240,69,16814,2757796558,12
90.873,33153,558260,576912,3257676,74240,69,17071,2757798125,12
92.217,33153,548704,576912,3258988,74240,70,17324,2757799760,12
93.568,33153,560536,576912,3257932,74240,69,17615,2757801350,12
94.916,33153,555548,576912,3258444,73612,69,17797,2757802978,12
96.257,33153,553064,576912,3258444,73612,69,18050,2757804586,12
97.592,33153,556056,576912,3258444,73612,69,18347,2757806209,12
98.964,33153,556684,576912,3258444,73612,69,18597,2757807849,12
100.282,33153,558200,576912,3258444,73612,69,18905,2757809408,12
101.597,33153,559096,576912,3258444,73612,69,19127,2757810979,12
102.927,33153,568324,576912,3258444,73612,69,19341,2757812589,12
104.288,33153,562664,576912,3258444,73612,69,19573,2757814232,12
105.609,33153,570032,576912,3257900,73612,68,19870,2757815835,12
106.948,33153,537460,576912,3255852,73612,68,20149,2757817432,12
108.282,33153,544540,576912,3255852,73612,68,20389,2757819003,12
109.618,33153,539684,576912,3254796,73612,67,20617,2757820612,12
110.92,33153,552868,576912,3254796,73612,67,20862,2757822163,12
