elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.172,37116,77456,77456,1878036,85068,27,48,2758041556,12
1.421,37116,258136,258136,2807980,84760,72,202,2758043050,12
2.696,37116,483516,483516,3179948,84664,72,407,2758044606,12
3.998,37116,490040,495048,3183532,84600,72,619,2758046163,12
5.296,37116,493192,501784,3186860,84544,72,891,2758047761,12
6.623,37116,497932,501784,3189932,84528,72,1162,2758049341,12
7.941,37116,503260,511352,3193260,84488,72,1401,2758050896,12
9.264,37116,507732,511352,3196844,84476,72,1611,2758052476,12
10.59,37116,520104,523800,3192748,82988,72,1857,2758054099,12
11.944,37116,521440,523800,3192748,82988,72,2120,2758055759,12
13.333,37116,525348,533832,3191948,82960,71,2394,2758057443,12
14.704,37116,521576,533832,3183436,82956,69,2644,2758059001,12
16.023,37116,527772,535004,3183692,82956,69,2893,2758060596,12
17.365,37116,521580,535004,3179596,82956,69,3136,2758062205,12
18.676,37116,522424,535004,3177804,82936,69,3422,2758063802,12
20.014,37116,524664,535004,3176748,82900,68,3689,2758065418,12
21.347,37116,525988,536956,3177004,82888,68,4028,2758066970,12
22.644,37116,528356,536956,3177004,82876,68,4243,2758068539,12
23.94,37116,534712,540588,3177772,82872,68,4460,2758070118,12
25.292,37116,531300,540588,3179308,82872,68,4769,2758071772,12
26.669,37116,534240,540588,3179820,82872,68,5039,2758073385,12
27.98,37116,536556,546168,3229228,82872,68,5369,2758074982,12
29.319,37116,538048,546168,3228172,82860,67,5622,2758076557,12
30.655,37116,551540,557148,3228684,82860,67,5883,2758078146,12
31.987,37116,544328,557148,3228940,82860,67,6133,2758079787,12
33.34,37116,544020,557148,3230252,82860,68,6470,2758081409,12
34.706,37116,548544,557148,3230252,82860,68,6735,2758083069,12
36.049,37116,549784,560464,3230764,82860,68,7060,2758084649,12
37.411,37116,560088,562736,3235116,77972,68,7220,2758086281,12
38.729,37116,573344,574480,3253804,77972,68,7524,2758087850,12
40.078,37116,565252,574480,3254060,77972,68,7773,2758089488,12
41.406,37116,575956,582388,3266348,77972,68,8070,2758091059,12
42.716,37116,570408,582388,3266604,77972,68,8321,2758092634,12
44.03,37116,559344,582388,3266092,74272,68,8535,2758094207,12
45.362,37116,529184,582388,3266092,74272,68,8833,2758095840,12
46.738,37116,528788,582388,3266348,74272,68,9084,2758097480,12
48.061,37116,532024,582388,3265292,74272,67,9382,2758099076,12
49.398,37116,532524,582388,3265292,74272,67,9643,2758100665,12
50.754,37116,534676,582388,3266348,74272,68,9899,2758102280,12
52.099,37116,534076,582388,3266348,74272,68,10128,2758103911,12
53.46,37116,535580,582388,3266604,74272,68,10425,2758105557,12
54.79,37116,539672,582388,3269164,74272,68,10668,2758107119,12
56.118,37116,551316,582388,3269164,74272,68,10897,2758108731,12
57.469,37116,541612,582388,3269164,74272,68,11144,2758110374,12
58.802,37116,555700,582388,3269164,74272,68,11430,2758111960,12
60.169,37116,545436,582388,3269420,74272,68,11692,2758113602,12
61.497,37116,559072,582388,3269420,74272,68,12014,2758115167,12
62.835,37116,548612,582388,3271212,74268,68,12155,2758116808,12
64.201,37116,550528,582388,3271212,74268,68,12415,2758118412,12
65.505,37116,551924,582388,3271212,74268,68,12729,2758120028,12
66.856,37116,552820,582388,3270156,74268,67,12987,2758121629,12
68.166,37116,552936,582388,3271468,74268,68,13279,2758123170,12
69.48,37116,554092,582388,3271468,74268,68,13481,2758124740,12
70.809,37116,555104,582388,3271468,74268,68,13760,2758126382,12
72.17,37116,554836,582388,3271468,74268,68,14013,2758128028,12
73.514,37116,562860,582388,3271468,74268,68,14298,2758129609,12
74.835,37116,559268,582388,3271468,74268,68,14565,2758131156,12
76.139,37116,563692,582388,3271724,74264,68,14777,2758132737,12
77.482,37116,559152,582388,3271724,74264,68,15014,2758134341,12
78.774,37116,564940,582388,3270732,74256,69,15305,2758135919,12
80.092,37116,542724,582388,3274316,74244,69,15589,2758137502,12
81.446,37116,541476,582388,3274572,74244,69,15743,2758139091,12
82.779,37116,538224,582388,3274572,74244,69,16017,2758140739,12
84.142,37116,543092,582388,3274572,74244,69,16267,2758142360,12
85.457,37116,553304,582388,3274572,74244,69,16579,2758143963,12
86.806,37116,544660,582388,3273516,74244,68,16831,2758145531,12
88.154,37116,559796,582388,3276108,74220,69,17035,2758147201,12
89.539,37116,546732,582388,3276108,74220,69,17285,2758148851,12
90.882,37116,553832,582388,3276108,74220,69,17570,2758150466,12
92.214,37116,551564,582388,3276108,74220,69,17838,2758152065,12
93.574,37116,557348,582388,3274252,74220,67,18091,2758153658,12
94.899,37116,554280,582388,3276076,73588,68,18294,2758155283,12
96.225,37116,558816,582388,3276076,73588,68,18611,2758156885,12
97.569,37116,561624,582388,3276076,73588,68,18877,2758158463,12
98.888,37116,570992,582388,3276076,73588,68,19090,2758160034,12
100.249,37116,565236,582388,3276076,73588,68,19362,2758161674,12
101.559,37116,570260,582388,3276076,73588,68,19582,2758163249,12
102.905,37116,561788,582388,3276076,73588,68,19864,2758164886,12
104.284,37116,562516,582388,3276076,73588,68,20115,2758166521,12
105.583,37116,557124,582388,3274540,73588,68,20405,2758168065,12
106.894,37116,539220,582388,3274540,73588,68,20632,2758169646,12
108.232,37116,541000,582388,3274540,73588,68,20862,2758171260,12
109.574,37116,541024,582388,3273484,73588,67,21110,2758172921,12
110.95,37116,544860,582388,3273484,73588,67,21376,2758174547,12
112.294,37116,544016,582388,3274540,73588,68,21646,2758176138,12
113.634,37116,546860,582388,3274540,73588,68,21905,2758177729,12
114.953,37116,547180,582388,3274540,73588,68,22112,2758179301,12
116.248,37116,559636,582388,3274540,73588,68,22390,2758180860,12
117.574,37116,550988,582388,3274540,73588,68,22671,2758182496,12
118.914,37116,562348,582388,3274540,73588,68,22983,2758184092,12
120.246,37116,552876,582388,3269420,73588,68,23240,2758185701,12
121.575,37116,567088,582388,3269420,73588,68,23527,2758187264,12
122.904,37116,555628,582388,3269420,73588,68,23769,2758188845,12
124.225,37116,555364,582388,3269420,73588,68,23966,2758190456,12
125.589,37116,557164,582388,3269676,73588,68,24263,2758192116,12
126.959,37116,557176,582388,3268876,73588,67,24526,2758193763,12
128.299,37116,562120,582388,3270188,73588,68,24841,2758195362,12
129.612,37116,567924,582388,3270188,73588,68,25108,2758196906,12
130.947,37116,568208,582388,3270444,73588,68,25335,2758198519,12
132.292,37116,542800,582388,3271500,73588,69,25611,2758200152,12
133.626,37116,546156,582388,3271756,73588,69,25913,2758201752,12
134.954,37116,546392,582388,3271756,73588,69,26160,2758203373,12
136.295,37116,552708,582388,3271756,73588,69,26440,2758204918,12
137.619,37116,549600,582388,3271756,73588,69,26661,2758206509,12
138.942,37116,560588,582388,3271756,73588,69,26930,2758208096,12
