elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.335,54534,102196,102196,1942416,84920,39,65,2751205914,12
1.616,54534,169464,169464,2460144,84676,50,166,2751207423,12
2.87,54534,367908,367908,2486000,84580,50,399,2751208921,12
4.121,54534,371956,371956,2489072,84540,50,533,2751210407,12
5.402,54534,372880,375360,2492912,84496,50,726,2751211974,12
6.711,54534,383920,383920,2497776,84468,50,1009,2751213580,12
8.034,54534,386552,387276,2500848,84448,50,1202,2751215128,12
9.36,54534,390004,390004,2512624,84436,50,1419,2751216722,12
10.67,54534,387208,392348,2507248,82960,50,1654,2751218341,12
12.028,54534,388648,392348,2507248,82960,50,1909,2751219950,12
13.365,54534,389492,392348,2506448,82948,49,2149,2751221600,12
14.719,54534,386644,396960,2499504,82916,48,2379,2751223160,12
16.031,54534,391572,396960,2497648,82916,46,2599,2751224728,12
17.322,54534,394164,398284,2494320,82884,46,2920,2751226299,12
17.666,54534,394164,398284,2494320,82884,46,2920,2751226727,12
18.975,54534,394164,398284,2494320,82884,46,2920,2751228317,12
20.32,54534,384024,398284,2493264,82884,45,2922,2751229917,12
21.653,54534,384024,398284,2493264,82884,45,2922,2751231530,12
