elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.141,55779,43524,43524,1859296,92200,20,30,2751281264,12
1.429,55779,258872,271448,2740944,84888,49,187,2751282761,12
2.714,55779,295088,295192,2793420,84580,49,275,2751284321,12
3.998,55779,491524,491524,2819788,84520,49,512,2751285878,12
5.312,55779,495824,497096,2823628,84476,49,763,2751287455,12
6.62,55779,504988,504988,2827212,84432,49,1019,2751289035,12
7.923,55779,509872,509872,2830796,84412,49,1281,2751290574,12
9.228,55779,530476,541564,2832588,84392,49,1953,2751292141,12
10.525,55779,534628,541564,2832076,82896,49,2391,2751293690,12
11.816,55779,540476,546020,2832076,82880,49,2907,2751295264,12
13.154,55779,539852,546020,2832076,82880,49,3241,2751296866,12
14.472,55779,545752,546020,2825932,82880,49,3581,2751298428,12
15.761,55779,549252,553916,2866348,82880,48,4376,2751299977,12
17.12,55779,550016,553916,2864044,82820,48,4809,2751301616,12
18.461,55779,550136,553916,2861964,82808,47,4973,2751303233,12
19.792,55779,546380,553916,2861420,82796,46,5257,2751304822,12
21.113,55779,548696,553916,2861420,79096,46,5540,2751306445,12
22.475,55779,519268,553916,2864492,79096,46,5840,2751308063,12
23.797,55779,534688,553916,2864492,79096,46,6355,2751309622,12
25.092,55779,530292,553916,2865260,79096,46,6715,2751311182,12
26.407,55779,532900,553916,2866540,79096,46,7201,2751312747,12
27.695,55779,536944,553916,2867564,79096,46,7543,2751314278,12
29.001,55779,535184,553916,2867820,79096,46,7801,2751315877,12
30.303,55779,565256,565256,2882548,79088,45,8546,2751317476,12
31.634,55779,602964,612940,2883244,74200,48,9192,2751319030,12
32.968,55779,590940,612940,2883244,74196,48,9220,2751320663,12
33.355,55779,590940,612940,2883244,74196,48,9220,2751321114,12
34.673,55779,590940,612940,2883244,74196,48,9220,2751322708,12
36.021,55779,590940,612940,2883244,74196,48,9220,2751324334,12
37.364,55779,562900,612940,2883244,74196,48,9235,2751325950,12
