elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.172,58037,76808,76808,1876980,85056,26,49,2751470768,12
1.434,58037,372380,372380,2499312,84564,50,427,2751472290,12
2.712,58037,387816,387816,2511344,84468,50,991,2751473825,12
3.975,58037,407072,407072,2527472,84428,50,1512,2751475342,12
5.266,58037,417584,417584,2536176,84424,50,1995,2751476903,12
6.604,58037,418452,420348,2538480,84424,50,2147,2751478550,12
7.0,58037,418452,420348,2538480,84424,50,2147,2751479013,12
8.308,58037,418504,420348,2538480,84424,50,2147,2751480567,12
9.624,58037,418504,420348,2538480,84424,50,2147,2751482148,12
10.944,58037,419608,420348,2538992,84416,50,2158,2751483753,12
