elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.146,59412,39696,39696,1865456,93444,21,23,2751540032,12
1.424,59412,368804,368804,2476496,84600,49,359,2751541525,12
2.677,59412,384900,385196,2489552,84464,49,944,2751543045,12
3.953,59412,395964,395964,2500816,84444,49,1498,2751544572,12
5.218,59412,409020,410180,2513104,84420,49,1979,2751546121,12
6.549,59412,413684,414752,2516432,84420,49,2169,2751547748,12
6.915,59412,413684,414752,2516432,84420,49,2169,2751548197,12
8.255,59412,413736,414752,2516432,84420,49,2170,2751549799,12
9.585,59412,413736,414752,2516432,84420,49,2170,2751551387,12
10.928,59412,400208,416336,2500560,82948,49,2176,2751552994,12
