elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.129,59606,45492,45492,1869568,92024,21,28,2751557849,12
1.44,59606,171440,172104,2447856,84728,50,138,2751559387,12
2.735,59606,367124,367124,2475760,84612,50,392,2751560954,12
4.026,59606,371196,371456,2479088,84568,50,590,2751562505,12
5.329,59606,375212,375868,2481904,84528,50,832,2751564046,12
6.652,59606,380868,380868,2486512,84504,50,1073,2751565698,12
7.99,59606,385616,385928,2489584,84476,50,1319,2751567238,12
9.276,59606,390068,390068,2492912,84468,50,1503,2751568785,12
10.609,59606,380840,393168,2488304,82976,50,1744,2751570388,12
11.942,59606,382552,393168,2488304,82976,50,1991,2751572010,12
13.248,59606,385216,393168,2488560,82964,50,2250,2751573556,12
14.552,59606,380524,393168,2480048,82960,48,2465,2751575123,12
15.887,59606,379908,393168,2479248,82960,47,2693,2751576727,12
17.213,59606,384592,393168,2486896,82960,46,3021,2751578344,12
18.535,59606,383076,393168,2485616,82960,46,3266,2751579944,12
19.916,59606,380540,393168,2484816,82916,45,3400,2751581591,12
21.285,59606,381404,393168,2484816,82900,45,3653,2751583245,12
22.605,59606,387932,393168,2485840,82872,45,3989,2751584825,12
23.954,59606,387156,393168,2487376,82872,45,4132,2751586448,12
25.307,59606,385980,393168,2488400,82872,45,4387,2751588056,12
26.645,59606,385372,393168,2488656,82872,45,4641,2751589660,12
27.955,59606,386584,393168,2488912,82872,45,4897,2751591255,12
29.307,59606,392136,393168,2490160,82872,44,5075,2751592821,12
30.615,59606,389024,393168,2489104,82868,43,5287,2751594416,12
31.946,59606,397440,397440,2519088,82868,44,5526,2751596012,12
33.245,59606,399096,399760,2519088,82868,44,5882,2751597559,12
34.535,59606,400316,400792,2520624,82868,44,6026,2751599096,12
35.813,59606,401036,401984,2520880,82868,44,6257,2751600636,12
37.133,59606,402244,402248,2520880,82868,44,6448,2751602230,12
38.445,59606,402892,403292,2521136,82868,44,6736,2751603799,12
39.775,59606,404328,404328,2522416,82868,44,6974,2751605397,12
41.098,59606,405016,405592,2522928,82868,44,7165,2751606977,12
42.439,59606,405788,405788,2522928,82868,44,7399,2751608595,12
43.778,59606,406256,406396,2523440,82868,44,7634,2751610206,12
45.113,59606,408556,409044,2524464,82868,44,7886,2751611850,12
46.467,59606,400832,409044,2525232,82868,44,8135,2751613429,12
47.778,59606,402236,409044,2525488,82868,44,8358,2751615001,12
49.102,59606,402580,409044,2525488,82868,44,8584,2751616588,12
50.441,59606,403604,409044,2527280,82868,44,8827,2751618192,12
51.78,59606,408380,409044,2527792,82868,44,9046,2751619836,12
53.152,59606,405476,414620,2526320,79172,46,9303,2751621483,12
54.518,59606,392332,414620,2526320,79172,46,9559,2751623123,12
55.885,59606,399240,414620,2527600,79172,46,9798,2751624752,12
57.233,59606,394704,414620,2527600,79172,46,10031,2751626393,12
58.616,59606,393652,414620,2527600,79172,46,10279,2751628039,12
59.973,59606,393652,414620,2527600,79172,46,10536,2751629667,12
61.299,59606,398768,414620,2527344,79144,46,10808,2751631246,12
62.647,59606,399792,414620,2527856,79144,46,10961,2751632832,12
63.988,59606,401068,414620,2528112,79144,46,11197,2751634453,12
65.325,59606,401356,414620,2528112,79144,46,11455,2751636086,12
66.653,59606,402300,414620,2529680,79144,47,11671,2751637685,12
67.024,59606,402300,414620,2529680,79144,47,11671,2751638127,12
68.359,59606,392744,414620,2528624,79144,46,11672,2751639736,12
69.697,59606,392744,414620,2528624,79144,46,11672,2751641340,12
71.034,59606,392744,414620,2528624,79144,46,11672,2751642929,12
