elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,59945,46496,46496,1862472,91624,23,29,2751648220,12
1.439,59945,371460,371460,2489872,84596,51,370,2751649737,12
2.718,59945,386980,386980,2502672,84472,51,959,2751651277,12
3.981,59945,392392,392392,2512912,84456,51,1523,2751652794,12
5.253,59945,408420,408420,2526736,84428,51,2006,2751654323,12
6.574,59945,411260,411260,2528528,84428,51,2160,2751655948,12
6.959,59945,411260,411260,2528528,84428,51,2160,2751656436,12
8.296,59945,411312,411312,2528528,84428,51,2160,2751658034,12
9.632,59945,411312,411312,2528528,84428,51,2160,2751659610,12
10.951,59945,397832,413960,2512656,82956,51,2167,2751661207,12
