elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,61709,47132,47132,1870632,91644,22,29,2751694370,12
1.434,61709,262036,278020,2732752,84904,49,186,2751695899,12
2.723,61709,302196,331684,2830284,84628,49,324,2751697460,12
4.023,61709,455208,477816,2833868,84560,49,577,2751699070,12
5.387,61709,443784,477816,2837708,84508,49,843,2751700688,12
6.724,61709,448076,477816,2841292,84460,49,1092,2751702300,12
8.062,61709,452768,477816,2844876,84432,49,1351,2751703917,12
9.41,61709,457964,477816,2845644,82936,49,1604,2751705497,12
10.737,61709,458876,477816,2845644,82928,49,1838,2751707073,12
12.042,61709,504644,504644,2845644,82924,49,2035,2751708646,12
13.389,61709,510424,510796,2845644,82896,49,2272,2751710288,12
14.72,61709,504760,510796,2838444,82888,48,2512,2751711906,12
16.059,61709,503828,510796,2838700,82880,48,2764,2751713474,12
17.372,61709,502116,510796,2831948,82836,45,2990,2751715040,12
18.687,61709,502264,510796,2829900,82820,45,3196,2751716599,12
20.025,61709,501916,510796,2829100,82800,44,3443,2751718218,12
21.346,61709,502460,510796,2829100,82788,44,3674,2751719828,12
22.652,61709,547708,547708,2829356,82788,44,3957,2751721390,12
24.018,61709,552340,554128,2833452,82788,44,4230,2751723047,12
25.378,61709,554272,554272,2834764,82788,45,4411,2751724638,12
26.72,61709,552228,554616,2835532,82788,45,4666,2751726258,12
28.072,61709,554700,555884,2835788,82788,45,4921,2751727893,12
29.428,61709,555228,557052,2836556,82788,45,5170,2751729533,12
30.784,61709,556772,557480,2836556,82788,45,5426,2751731169,12
32.152,61709,557540,559100,2836812,82788,45,5674,2751732812,12
33.484,61709,560080,560820,2878028,82788,45,5944,2751734369,12
34.821,61709,561532,564256,2880588,82788,45,6215,2751736008,12
36.185,61709,565008,565008,2880844,82788,45,6391,2751737609,12
37.527,61709,564952,565024,2880844,82788,45,6627,2751739228,12
38.873,61709,563980,565824,2881356,82788,45,6874,2751740858,12
40.236,61709,565236,566464,2881068,82788,44,7131,2751742495,12
41.589,61709,565256,567656,2881580,82788,44,7393,2751744127,12
42.945,61709,568076,568712,2882092,82788,44,7641,2751745738,12
44.262,61709,569920,569920,2882092,82788,44,7912,2751747305,12
45.579,61709,573876,574576,2883340,82788,43,8178,2751748919,12
46.952,61709,573288,574576,2885452,82788,45,8337,2751750523,12
48.268,61709,571808,574856,2885964,82788,45,8581,2751752142,12
49.624,61709,553492,580652,2884428,79092,45,8844,2751753784,12
50.994,61709,556040,580652,2884684,79092,45,9100,2751755422,12
52.359,61709,557284,580652,2884684,79092,45,9361,2751757055,12
53.728,61709,557648,580652,2884684,79092,45,9606,2751758673,12
55.049,61709,558928,580652,2884684,79092,45,9872,2751760250,12
56.389,61709,563492,580652,2886732,79092,45,10153,2751761896,12
57.761,61709,561580,580652,2886732,79088,45,10302,2751763529,12
59.103,61709,562360,580652,2886988,79088,45,10546,2751765139,12
60.434,61709,561556,580652,2885964,79088,45,10791,2751766732,12
61.787,61709,562988,580652,2884908,79088,44,11048,2751768391,12
63.173,61709,563192,580652,2884908,79088,44,11297,2751770028,12
64.526,61709,562888,580652,2884908,79088,44,11538,2751771649,12
65.868,61709,565276,580652,2884908,79088,44,11799,2751773232,12
67.18,61709,569868,580652,2887212,79084,44,12078,2751774858,12
68.559,61709,565324,580652,2885484,79076,46,12234,2751776480,12
69.904,61709,557712,580652,2885484,79076,46,12477,2751778123,12
71.26,61709,556952,580652,2885484,79076,46,12738,2751779739,12
72.624,61709,558428,580652,2885484,79076,46,12987,2751781377,12
73.993,61709,557604,580652,2885484,79076,46,13242,2751783004,12
75.363,61709,558896,580652,2885484,79076,46,13503,2751784650,12
76.682,61709,561356,580652,2885484,79076,46,13773,2751786197,12
77.987,61709,565020,580652,2888588,79076,47,14057,2751787807,12
79.345,61709,563008,580652,2888588,79076,47,14195,2751789446,12
80.704,61709,564832,580652,2887532,79076,46,14450,2751791077,12
82.081,61709,564496,580652,2887532,79076,46,14704,2751792726,12
83.452,61709,564552,580652,2885420,79076,44,14955,2751794367,12
84.804,61709,564728,580652,2885676,79076,44,15210,2751796005,12
86.158,61709,565188,580652,2885676,79076,44,15467,2751797623,12
87.477,61709,566852,580652,2885676,79076,44,15729,2751799163,12
88.77,61709,565692,580652,2887756,79076,45,16023,2751800732,12
90.119,61709,562016,580652,2888268,79076,45,16169,2751802379,12
91.498,61709,562208,580652,2888268,79076,45,16424,2751804015,12
92.833,61709,562584,580652,2889324,79076,46,16681,2751805616,12
94.172,61709,569588,580652,2889324,79076,46,16948,2751807235,12
95.504,61709,567120,580652,2889324,78440,46,17213,2751808827,12
96.817,61709,566604,580652,2888268,78440,45,17465,2751810370,12
98.16,61709,566192,580652,2888268,78440,45,17701,2751811990,12
99.458,61709,572228,580652,2888780,78440,45,17987,2751813540,12
100.742,61709,567952,580652,2888780,78440,45,18172,2751815076,12
102.057,61709,570396,580652,2888780,78440,45,18375,2751816662,12
103.39,61709,569524,580652,2888780,78440,45,18607,2751818254,12
104.724,61709,570232,580652,2887724,78440,44,18850,2751819886,12
106.073,61709,569060,580652,2887724,78440,44,19108,2751821504,12
107.445,61709,570036,580652,2887724,78440,44,19368,2751823157,12
108.819,61709,575932,580652,2888780,78440,45,19625,2751824812,12
110.152,61709,576656,583552,2890060,78428,45,19893,2751826388,12
111.49,61709,569996,583552,2888524,78424,45,20099,2751827984,12
112.829,61709,564600,583552,2888524,78424,45,20324,2751829586,12
114.169,61709,563592,583552,2888524,78424,45,20568,2751831208,12
115.513,61709,563880,583552,2888524,78424,45,20832,2751832828,12
116.857,61709,563976,583552,2888524,78424,45,21099,2751834464,12
118.192,61709,563524,583552,2888524,78424,45,21364,2751836038,12
119.523,61709,565328,583552,2888524,78424,45,21624,2751837661,12
120.865,61709,566596,583552,2884428,78424,45,21840,2751839242,12
122.205,61709,564292,583552,2884940,78424,45,22067,2751840872,12
123.57,61709,569120,583552,2884940,78424,45,22321,2751842509,12
124.954,61709,566824,583552,2884940,78424,45,22572,2751844175,12
126.324,61709,568980,583552,2883884,78424,44,22818,2751845797,12
127.671,61709,567320,583552,2883884,78424,44,23068,2751847442,12
129.046,61709,568804,583552,2883884,78424,44,23319,2751849087,12
130.385,61709,569492,583552,2883884,78424,44,23573,2751850698,12
131.753,61709,568580,583552,2883884,78424,44,23798,2751852299,12
133.058,61709,573656,583552,2885484,78424,46,24006,2751853875,12
133.42,61709,573656,583552,2885484,78424,46,24006,2751854318,12
134.739,61709,573656,583552,2885484,78424,46,24006,2751855928,12
136.088,61709,573656,583552,2885484,78424,46,24006,2751857522,12
137.405,61709,573656,583552,2885484,78424,46,24006,2751859131,12
