elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.174,61972,72364,72364,1876724,85224,26,49,2751865916,12
1.441,61972,259432,275176,2735344,84728,50,193,2751867423,12
2.701,61972,456648,456648,2777068,84508,50,675,2751868946,12
3.993,61972,461584,461844,2781676,84428,50,789,2751870527,12
5.325,61972,466936,466936,2785516,84396,50,1036,2751872132,12
6.682,61972,471908,471908,2789356,84380,50,1324,2751873714,12
7.973,61972,484844,486388,2798828,84364,50,1822,2751875283,12
9.348,61972,487160,487160,2801644,84356,50,1851,2751876958,12
9.707,61972,487160,487160,2801644,84356,50,1851,2751877407,12
11.05,61972,475212,490340,2787052,82892,50,1858,2751879005,12
12.379,61972,475212,490340,2787052,82892,50,1858,2751880617,12
13.719,61972,473036,490340,2785996,82888,49,1859,2751882225,12
