elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.127,64033,46320,46320,1869576,91820,21,27,2751887456,12
1.407,64033,267500,276132,2765516,84888,49,184,2751888966,12
2.69,64033,267028,276132,2769100,84628,49,218,2751890529,12
3.975,64033,460640,460640,2787276,84576,49,461,2751892072,12
5.257,64033,463720,463720,2789324,84540,49,712,2751893623,12
6.609,64033,466884,466884,2791628,84504,49,753,2751895233,12
7.963,64033,467576,467576,2792396,84496,49,954,2751896898,12
8.347,64033,467628,467628,2792396,84496,49,954,2751897353,12
9.665,64033,467628,467628,2792396,84496,49,954,2751898922,12
11.003,64033,467632,467632,2792396,84492,49,955,2751900528,12
12.325,64033,467636,467636,2792396,84492,49,955,2751902110,12
