elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.138,64999,48440,48440,1871704,91552,23,27,2751930415,12
1.432,64999,371284,371284,2480112,84580,50,378,2751931965,12
2.713,64999,388472,388472,2518768,84476,50,970,2751933493,12
3.995,64999,404212,404212,2532336,84440,50,1535,2751935029,12
5.278,64999,410240,414232,2542576,84440,50,2029,2751936587,12
6.619,64999,413896,414252,2544880,84440,50,2199,2751938217,12
6.982,64999,413896,414252,2544880,84440,50,2199,2751938661,12
8.324,64999,413948,414252,2544880,84440,50,2199,2751940265,12
9.655,64999,413948,414252,2544880,84440,50,2199,2751941864,12
10.983,64999,400400,416528,2529008,82964,50,2207,2751943463,12
