elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.182,65216,59584,59584,1865940,86884,25,32,2751948779,12
1.445,65216,369020,369020,2486768,84596,50,381,2751950297,12
2.721,65216,388128,389392,2499824,84472,50,985,2751951832,12
3.993,65216,397328,397328,2520048,84456,50,1555,2751953364,12
5.264,65216,410776,411636,2532336,84432,50,2056,2751954892,12
6.595,65216,413432,413588,2534128,84432,50,2137,2751956540,12
6.976,65216,413432,413588,2534128,84432,50,2137,2751956983,12
8.31,65216,413484,413588,2534128,84432,50,2138,2751958593,12
9.66,65216,413484,413588,2534128,84432,50,2138,2751960222,12
11.021,65216,394404,415956,2518256,82956,50,2145,2751961849,12
