elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,65511,47648,47648,1870632,91568,22,29,2751966774,12
1.435,65511,371036,371036,2480112,84616,50,404,2751968309,12
2.726,65511,383636,383636,2516720,84508,50,986,2751969833,12
3.994,65511,392744,392744,2524400,84472,50,1252,2751971426,12
5.326,65511,397768,397768,2527728,84464,50,1502,2751973021,12
6.643,65511,400376,400944,2530800,84460,50,1747,2751974600,12
7.976,65511,404964,405728,2534384,84444,50,1981,2751976160,12
9.274,65511,394836,410716,2520560,82960,50,2197,2751977725,12
10.607,65511,394968,410716,2520560,82956,50,2391,2751979328,12
11.949,65511,394688,410716,2520816,82952,50,2633,2751980941,12
13.253,65511,390680,410716,2509296,78004,50,3085,2751982496,12
14.545,65511,389864,410716,2505136,77988,48,3590,2751984037,12
15.824,65511,397324,410716,2510288,77976,49,4072,2751985582,12
17.169,65511,397688,410716,2508688,77976,47,4232,2751987225,12
17.53,65511,397688,410716,2508688,77976,47,4232,2751987675,12
18.86,65511,389360,410716,2507632,77976,46,4233,2751989273,12
20.188,65511,389272,410716,2506576,77976,45,4234,2751990864,12
21.536,65511,389272,410716,2506576,77976,45,4234,2751992465,12
