elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,2649,47636,47636,1870632,91564,22,28,2752070974,12
1.413,2649,270112,273340,2759372,84900,49,182,2752072488,12
2.674,2649,496736,502536,2801100,84520,49,658,2752074013,12
3.963,2649,502456,502536,2804940,84444,49,843,2752075569,12
5.285,2649,506092,506640,2808780,84424,49,1084,2752077199,12
6.628,2649,502452,510272,2812876,84392,49,1360,2752078806,12
7.965,2649,518028,518028,2858444,84384,49,1698,2752080362,12
9.274,2649,514632,528296,2853068,82912,49,2178,2752081970,12
10.641,2649,522004,528296,2863308,82904,49,2408,2752083608,12
11.016,2649,522004,528296,2863308,82904,49,2408,2752084055,12
12.352,2649,522004,528296,2863308,82904,49,2408,2752085672,12
13.684,2649,522004,528296,2863308,82904,49,2408,2752087266,12
15.014,2649,512228,528296,2861196,82904,47,2409,2752088874,12
