elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,3416,46360,46360,1870632,91716,22,29,2752108778,12
1.43,3416,368224,368224,2473680,84676,49,386,2752110308,12
2.72,3416,384416,384416,2485200,84500,49,846,2752111851,12
3.992,3416,395112,395112,2516432,84476,49,1400,2752113392,12
5.277,3416,408652,408652,2526416,84444,49,1785,2752114938,12
6.598,3416,417920,418324,2555088,84444,49,2268,2752116544,12
7.942,3416,428248,428488,2563536,84444,49,2791,2752118118,12
9.26,3416,414496,430624,2548944,82972,49,2817,2752119743,12
9.646,3416,414496,430624,2548944,82972,49,2817,2752120208,12
10.981,3416,414676,430624,2548944,82964,49,2817,2752121813,12
12.303,3416,414676,430624,2548944,82964,49,2817,2752123408,12
13.644,3416,414676,430624,2548944,82964,49,2817,2752125005,12
