elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.169,3993,76212,76212,1876980,85080,26,49,2752145032,12
1.446,3993,369032,370152,2497008,84604,50,414,2752146573,12
2.728,3993,378740,378740,2506480,84488,50,916,2752148093,12
3.996,3993,395848,395848,2521584,84460,50,1405,2752149625,12
5.285,3993,407764,407764,2532080,84436,50,1905,2752151172,12
6.598,3993,414012,414892,2539504,84436,50,2275,2752152782,12
6.963,3993,414012,414892,2539504,84436,50,2275,2752153249,12
8.305,3993,414064,414892,2539504,84436,50,2275,2752154844,12
9.642,3993,414064,414892,2539504,84436,50,2275,2752156460,12
10.984,3993,414068,414892,2539504,84432,50,2275,2752158043,12
