elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.138,4234,48452,48452,1860404,91404,21,29,2752163298,12
1.413,4234,365776,380292,2488496,84600,48,373,2752164816,12
2.684,4234,378004,380292,2498736,84496,48,950,2752166329,12
3.945,4234,392128,392128,2539440,84480,48,1541,2752167865,12
5.232,4234,402248,402588,2548656,84456,48,2021,2752169393,12
6.491,4234,412476,412568,2557616,84456,48,2500,2752170921,12
7.807,4234,423532,423532,2567088,84456,48,3014,2752172492,12
9.084,4234,390180,428348,2528432,82952,48,3502,2752174044,12
10.384,4234,390248,428348,2524080,82916,48,4005,2752175595,12
11.673,4234,390304,428348,2522544,82868,48,4521,2752177136,12
12.969,4234,393044,428348,2524336,82852,48,5071,2752178688,12
14.26,4234,398664,428348,2526576,82852,46,5547,2752180240,12
15.548,4234,401424,428348,2528400,82852,47,6055,2752181792,12
16.867,4234,402728,428348,2527056,82852,45,6561,2752183380,12
18.179,4234,425820,428348,2536528,74024,45,7047,2752184950,12
19.477,4234,427584,432992,2537520,73628,44,7556,2752186504,12
20.774,4234,419780,432992,2538032,73628,44,8106,2752188061,12
22.064,4234,418108,432992,2538032,73628,44,8625,2752189601,12
23.375,4234,419056,432992,2538032,73628,44,9161,2752191179,12
24.664,4234,420536,432992,2538544,73628,44,9621,2752192718,12
25.977,4234,420868,432992,2538544,73628,44,10150,2752194305,12
27.271,4234,419680,432992,2538544,73612,44,10701,2752195855,12
28.579,4234,418748,432992,2540080,73612,44,11205,2752197426,12
29.875,4234,419804,432992,2540080,73612,44,11695,2752199009,12
30.212,4234,419908,432992,2540080,73612,44,11695,2752199418,12
31.543,4234,413064,432992,2541136,73612,45,11697,2752201025,12
32.888,4234,413064,432992,2541136,73612,45,11697,2752202640,12
34.229,4234,413064,432992,2541136,73612,45,11697,2752204240,12
