elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.14,4510,46212,46212,1869576,91920,21,29,2752209189,12
1.451,4510,163748,370084,2461424,84624,26,379,2752210711,12
2.71,4510,383820,383820,2509296,84496,50,743,2752212229,12
3.969,4510,221832,393260,2522768,84456,39,1210,2752213741,12
5.263,4510,405256,411468,2542832,84440,50,1613,2752215299,12
6.553,4510,426212,426212,2558960,84416,50,2216,2752216850,12
7.849,4510,446616,446616,2575856,84416,50,2876,2752218420,12
9.156,4510,448960,448960,2594544,82932,50,3246,2752219980,12
10.493,4510,445084,448976,2594800,82928,50,3646,2752221628,12
10.87,4510,445084,448976,2594800,82928,50,3646,2752222083,12
12.229,4510,445084,448976,2594800,82928,50,3646,2752223715,12
13.559,4510,445084,448976,2594800,82928,50,3646,2752225292,12
14.887,4510,437872,448976,2592688,82928,48,3646,2752226899,12
