处方	chu3 fang1
我得	wo3 dei3
做得	zuo4 de5
姓单	xing4 shan4
曾医生	zeng1 yi1 sheng1
曾工	zeng1 gong1
曾宁	zeng1 ning2
单老师	shan4 lao3 shi1
单阳	shan4 yang2
解律师	xie4 lv4 shi1
解晨	xie4 chen2
仇工程师	qiu2 gong1 cheng2 shi1
朴顾问	piao2 gu4 wen4
区记者	ou1 ji4 zhe3
华教授	hua4 jiao4 shou4
燕法官	yan1 fa3 guan1
查档案员	zha1 dang4 an4 yuan2
查家	zha1 jia1
从重庆	cong2 chong2 qing4
音乐	yin1 yue4
便宜	pian2 yi5
得去	dei3 qu4
得亏	dei3 kui1
折了本	she2 le5 ben3
系鞋带	ji4 xie2 dai4
系扣	ji4 kou4
头发	tou2 fa5
不得了	bu4 de2 liao3
舍得	she3 de5
盛汤	cheng2 tang1
验血	yan4 xie3
露出	lou4 chu1
露头	lou4 tou2
觉醒	jue2 xing3
颠倒	dian1 dao3
露水	lu4 shui3

# --- Polyphone cases 2026-06-30 ---
的决	di2 jue2
朝阳	zhao1 yang2
盛热粥	cheng2 re4 zhou1
和成	huo2 cheng2
圈养	juan4 yang3
咳声	hai1 sheng1
召公	shao4 gong1
杉篙	sha1 gao1
柜柳	ju3 liu3
柞木	zuo4 mu4
瀑河	bao4 he2
一石粮食	yi1 dan4 liang2 shi2
那枚车	na4 mei2 ju1
吴堡县	wu2 bu3 xian4
中肯	zhong4 ken3
空房	kong4 fang2
裁缝	cai2 feng2
量尺	liang2 chi3
强迫	qiang3 po4
载客	zai4 ke4
场院	chang2 yuan4
照片	zhao4 pian4
倒温水	dao4 wen1 shui3
论语	lun2 yu3
言语	yan2 yu3
给予	ji3 yu3
掖县	ye4 xian4
济水	ji3 shui3
浆洗	jiang4 xi3
每服	mei3 fu4
盖姓	ge3 xing4
姓盖	xing4 ge3
纪姓	ji3 xing4
姓纪	xing4 ji3
区姓	ou1 xing4
查姓	zha1 xing4
圈养了	juan4 yang3 le5

# --- Polyphone added 220 cases 2026-06-30 ---
还没	hai2 mei2
流了一点血	liu2 le5 yi1 dian3 xie3
参差地	cen1 ci1 de5
调到	diao4 dao4
削尖	xiao1 jian1
扎紧	za1 jin3
折成	zhe2 cheng2
和了一首	he4 le5 yi1 shou3
和在水里	huo4 zai4 shui3 li3
就和了	jiu4 hu2 le5
嚼着	jiao2 zhe5
俟机	si4 ji1
大大咧咧地	da4 da5 lie1 lie1 de5
掸邦	shan4 bang1
一撮头发	yi1 zuo3 tou2 fa5
槛车	jian4 che1
澄一澄	deng4 yi1 deng4
朴姓	piao2 xing4
姓朴	xing4 piao2

# --- Selected tone-only lexical fixes 2026-06-30 ---
副将	fu4 jiang4
本分	ben3 fen4
种玉米	zhong4 yu4 mi3
种着	zhong4 zhe5
相差	xiang1 cha1
记载	ji4 zai3
会场	hui4 chang3
操场	cao1 chang3
笼住	long3 zhu4
