# High-priority polyphone phrase overrides (merged after chinese_lexicon.bin).
# Format: word<TAB>pinyin_syllables

# --- Segmentation: longer phrases beat erroneous partial lexicon entries ---
已为你	yi3 wei4 ni3
已为您	yi3 wei4 nin2
的音乐	yin1 yue4
优美的音乐	you1 mei3 de5 yin1 yue4
音乐	yin1 yue4
步行在	bu4 xing2 zai4
正步行在	zheng4 bu4 xing2 zai4
这步棋	zhe4 bu4 qi2
棋走着了	qi2 zou3 zhao1 le5
走着了	zou3 zhao1 le5
在公众	zai4 gong1 zhong4
公众场合	gong1 zhong4 chang3 he2
这位年轻的少爷	zhe4 wei4 nian2 qing1 shao4 ye5
刚一露头	gang1 yi1 lou4 tou2
机器模型	ji1 qi4 mo2 xing2
露出了	lou4 chu1 le5
昨晚在宿舍	zuo2 wan3 zai4 su4 she4
住了一宿	zhu4 le5 yi1 xiu3
研究星宿	yan2 jiu1 xing1 xiu4
流了不少血	liu2 le5 bu4 shao3 xie3
帮我盛了	bang1 wo3 cheng2 le5
盛了一碗饭	cheng2 le5 yi1 wan3 fan4
帮我盛了一碗饭	bang1 wo3 cheng2 le5 yi1 wan3 fan4

# --- Context reading corrections (v2 device eval) ---
得去	dei3 qu4
得亏	dei3 kui1
便宜	pian2 yi5
头发	tou2 fa5
不得了	bu4 de2 liao3
折了本	she2 le5 ben3
系鞋带	ji4 xie2 dai4
系扣	ji4 kou4
盛汤	cheng2 tang1
觉醒	jue2 xing3
颠倒	dian1 dao3
露水	lu4 shui3
厚薄	hou4 bao2
自怨艾	zi4 yuan4 yi4
朴树	po4 shu4
翟羽	di2 yu3
堡子	pu4 zi5
吴家堡	wu2 jia1 pu4
堡垒	bao3 lei3
千乘	qian1 sheng4
卡住	qia3 zhu4
色儿	shai3 er5
薄荷	bo4 he5

# --- Reading corrections ---
削苹果	xiao1 ping2 guo3
有着落	you3 zhuo2 luo4
你得	ni3 dei3
这件事	zhe4 jian4 shi4
给他验血	gei3 ta1 yan4 xie3
验血	yan4 xie3
露出	lou4 chu1
露头	lou4 tou2
一宿	yi1 xiu3
美食之都	mei3 shi2 zhi1 du1
和诗	he4 shi1
舍得	she3 de5
量体裁衣	liang2 ti3 cai2 yi1
照片	zhao4 pian4
办丧	ban4 sang1
道行	dao4 heng5

# --- Polyphone cases 2026-06-30 ---
朝阳	zhao1 yang2
盛热粥	cheng2 re4 zhou1
和成	huo2 cheng2
圈养	juan4 yang3
咳声	hai1 sheng1
召公	shao4 gong1
杉篙	sha1 gao1
柜柳	ju3 liu3
柞木	zuo4 mu4
瀑河	bao4 he2
一石粮食	yi1 dan4 liang2 shi2
那枚车	na4 mei2 ju1
吴堡县	wu2 bu3 xian4
中肯	zhong4 ken3
空房	kong4 fang2
处方	chu3 fang1
裁缝	cai2 feng2
量尺	liang2 chi3
强迫	qiang3 po4
载客	zai4 ke4
场院	chang2 yuan4
倒温水	dao4 wen1 shui3

# --- Reviewed surname/proper-name contexts 2026-07-14 ---
区老师	ou1 lao3 shi1
曾老师	zeng1 lao3 shi1
解经理	xie4 jing1 li3
薄书记	bo2 shu1 ji4
任先生	ren2 xian1 sheng1
朴老师	piao2 lao3 shi1
论语	lun2 yu3
言语	yan2 yu3
给予	ji3 yu3
掖县	ye4 xian4
济水	ji3 shui3
浆洗	jiang4 xi3
每服	mei3 fu4
圈养了	juan4 yang3 le5

# --- Polyphone added 220 cases 2026-06-30 ---
还没	hai2 mei2
流了一点血	liu2 le5 yi1 dian3 xie3
参差地	cen1 ci1 de5
调到	diao4 dao4
削尖	xiao1 jian1
扎紧	za1 jin3
折成	zhe2 cheng2
和了一首	he4 le5 yi1 shou3
和在水里	huo4 zai4 shui3 li3
就和了	jiu4 hu2 le5
嚼着	jiao2 zhe5
俟机	si4 ji1
大大咧咧地	da4 da5 lie1 lie1 de5
掸邦	shan4 bang1
一撮头发	yi1 zuo3 tou2 fa5
槛车	jian4 che1
澄一澄	deng4 yi1 deng4

# --- Selected tone-only lexical fixes 2026-06-30 ---
副将	fu4 jiang4
本分	ben3 fen4
种玉米	zhong4 yu4 mi3
种着	zhong4 zhe5
相差	xiang1 cha1
记载	ji4 zai3
会场	hui4 chang3
操场	cao1 chang3
笼住	long3 zhu4
个	ge4

朝阳区	chao2 yang2 qu1
