# Chinese surname readings (merged after chinese_lexicon.bin).
# Format: word<TAB>pinyin_syllables

区姓	ou1 xing4
姓区	xing4 ou1
乐姓	yue4 xing4
曾姓	zeng1 xing4
姓曾	xing4 zeng1
查姓	zha1 xing4
姓查	xing4 zha1
朴姓	piao2 xing4
覃姓	qin2 xing4
姓覃	xing4 qin2
尉姓	yu4 xing4
姓尉	xing4 yu4
卜姓	bu3 xing4
姓卜	xing4 bu3
车姓	ju1 xing4
姓车	xing4 ju1
姓薄	xing4 bo2
解姓	xie4 xing4
单姓	shan4 xing4
姓单	xing4 shan4
仇姓	qiu2 xing4
姓仇	xing4 qiu4
任姓	ren2 xing4
姓任	xing4 ren2
石姓	dan4 xing4
姓石	xing4 dan4
华姓	hua4 xing4
姓华	xing4 hua4
燕姓	yan1 xing4
姓燕	xing4 yan1
殷姓	yin1 xing4
姓殷	xing4 yin1
柏姓	bo2 xing4
姓柏	xing4 bo2
秘姓	bi4 xing4
姓秘	xing4 bi4
翟姓	zhai2 xing4
姓翟	xing4 zhai2
长姓	zhang3 xing4
姓长	xing4 zhang3
仇姓	qiu2 xing4
姓仇	xing4 qiu2

# --- Polyphone surname cases 2026-06-30 ---
盖姓	ge3 xing4
姓盖	xing4 ge3
纪姓	ji3 xing4
姓纪	xing4 ji3

# --- Polyphone added 220 surname cases 2026-06-30 ---
姓朴	xing4 piao2
